"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7261","consent.html","external-html","0","7273","0.0-0.0","yr96h7kbspukmgc51rpn","female","journey","","","","","",""
"10616","","image-button-response","1","17893","0.0-1.0","yr96h7kbspukmgc51rpn","female","journey","check-1.png","1","check1","","",""
"5173","","image-button-response","2","23068","0.0-2.0","yr96h7kbspukmgc51rpn","female","journey","check-2.png","2","check2","","",""
"80898","","instructions","3","103966","0.0-3.0","yr96h7kbspukmgc51rpn","female","journey","","","","[{""page_index"":0,""viewing_time"":26529},{""page_index"":1,""viewing_time"":35684},{""page_index"":2,""viewing_time"":10682},{""page_index"":3,""viewing_time"":8002}]","",""
"52778","","html-slider-response","4","156746","0.0-4.0","yr96h7kbspukmgc51rpn","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","","trial","","30",""
"93037","","survey-text","5","249784","0.0-5.0","yr96h7kbspukmgc51rpn","female","journey","","","description","","","{""Q0"":""Jennifer was diagnosed with Stage 2 lymphoma. She requires chemo treatments every 21 days and this will be a long journey for her.""}"
"15936","","survey-likert","6","265723","0.0-6.0-0.0","yr96h7kbspukmgc51rpn","female","journey","","","urgent","","","{""Q0"":4}"
"3421","","survey-likert","7","269146","0.0-6.0-1.0","yr96h7kbspukmgc51rpn","female","journey","","","sympathy","","","{""Q0"":6}"
"13844","","survey-text","8","282992","0.0-7.0","yr96h7kbspukmgc51rpn","female","journey","","","past-donations","","","{""Q0"":""3""}"
"6488","","survey-multi-choice","9","289482","0.0-8.0-0.0","yr96h7kbspukmgc51rpn","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"3192","","survey-multi-choice","10","292676","0.0-8.0-1.0","yr96h7kbspukmgc51rpn","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"18396","","survey-multi-choice","11","311079","0.0-9.0","yr96h7kbspukmgc51rpn","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4832","","survey-text","12","315912","0.0-10.0","yr96h7kbspukmgc51rpn","female","journey","","","age","","","{""Q0"":""56""}"
"22213","","survey-text","13","338126","0.0-11.0","yr96h7kbspukmgc51rpn","female","journey","","","purpose","","","{""Q0"":""How generous a person might be towards somebody they really don't know.""}"
"6286","","survey-text","14","344413","0.0-12.0","yr96h7kbspukmgc51rpn","female","journey","","","feedback","","","{""Q0"":""None at this time.""}"
"5275","debrief.html","external-html","15","350040","0.0-13.0","yr96h7kbspukmgc51rpn","female","journey","","","","","",""
