"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9877","consent.html","external-html","0","9982","0.0-0.0","0przmxsx1yptn44ofzb3","female","battle","","","","","",""
"5381","","image-button-response","1","15371","0.0-1.0","0przmxsx1yptn44ofzb3","female","battle","check-1.png","1","check1","","",""
"41638","","image-button-response","2","57013","0.0-2.0","0przmxsx1yptn44ofzb3","female","battle","check-2.png","2","check2","","",""
"15276","","instructions","3","72292","0.0-3.0","0przmxsx1yptn44ofzb3","female","battle","","","","[{""page_index"":0,""viewing_time"":5668},{""page_index"":1,""viewing_time"":6475},{""page_index"":2,""viewing_time"":1749},{""page_index"":3,""viewing_time"":1383}]","",""
"12997","","html-slider-response","4","85292","0.0-4.0","0przmxsx1yptn44ofzb3","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","41",""
"46126","","survey-text","5","131425","0.0-5.0","0przmxsx1yptn44ofzb3","female","battle","","","description","","","{""Q0"":""jennifer's situation is common situation that that time i have help.""}"
"7446","","survey-likert","6","138877","0.0-6.0-0.0","0przmxsx1yptn44ofzb3","female","battle","","","sympathy","","","{""Q0"":5}"
"4394","","survey-likert","7","143276","0.0-6.0-1.0","0przmxsx1yptn44ofzb3","female","battle","","","urgent","","","{""Q0"":6}"
"15132","","survey-text","8","158410","0.0-7.0","0przmxsx1yptn44ofzb3","female","battle","","","past-donations","","","{""Q0"":""12""}"
"2890","","survey-multi-choice","9","161306","0.0-8.0-0.0","0przmxsx1yptn44ofzb3","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"2249","","survey-multi-choice","10","163561","0.0-8.0-1.0","0przmxsx1yptn44ofzb3","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"11913","","survey-multi-choice","11","175486","0.0-9.0","0przmxsx1yptn44ofzb3","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"2864","","survey-text","12","178352","0.0-10.0","0przmxsx1yptn44ofzb3","female","battle","","","age","","","{""Q0"":""30""}"
"20227","","survey-text","13","198582","0.0-11.0","0przmxsx1yptn44ofzb3","female","battle","","","purpose","","","{""Q0"":""Yes, I have tested for this experiment""}"
"8412","","survey-text","14","206997","0.0-12.0","0przmxsx1yptn44ofzb3","female","battle","","","feedback","","","{""Q0"":""Nice ""}"
"5077","debrief.html","external-html","15","213430","0.0-13.0","0przmxsx1yptn44ofzb3","female","battle","","","","","",""
