"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6285","consent.html","external-html","0","6432","0.0-0.0","36q31rv3d28f8nz2qmju","female","battle","","","","","",""
"1843","","image-button-response","1","8276","0.0-1.0","36q31rv3d28f8nz2qmju","female","battle","check-1.png","1","check1","","",""
"2537","","image-button-response","2","10815","0.0-2.0","36q31rv3d28f8nz2qmju","female","battle","check-2.png","2","check2","","",""
"17466","","instructions","3","28282","0.0-3.0","36q31rv3d28f8nz2qmju","female","battle","","","","[{""page_index"":0,""viewing_time"":3272},{""page_index"":1,""viewing_time"":9809},{""page_index"":2,""viewing_time"":3392},{""page_index"":3,""viewing_time"":993}]","",""
"22012","","html-slider-response","4","50298","0.0-4.0","36q31rv3d28f8nz2qmju","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","4",""
"20899","","survey-text","5","71198","0.0-5.0","36q31rv3d28f8nz2qmju","female","battle","","","description","","","{""Q0"":""Jennifer is very sick with something called Lymphoma. She is having trouble paying for her treatment.""}"
"4195","","survey-likert","6","75395","0.0-6.0-0.0","36q31rv3d28f8nz2qmju","female","battle","","","urgent","","","{""Q0"":5}"
"4982","","survey-likert","7","80394","0.0-6.0-1.0","36q31rv3d28f8nz2qmju","female","battle","","","sympathy","","","{""Q0"":5}"
"3139","","survey-text","8","83548","0.0-7.0","36q31rv3d28f8nz2qmju","female","battle","","","past-donations","","","{""Q0"":""0""}"
"2359","","survey-multi-choice","9","85911","0.0-8.0-0.0","36q31rv3d28f8nz2qmju","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"3104","","survey-multi-choice","10","89031","0.0-8.0-1.0","36q31rv3d28f8nz2qmju","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"11562","","survey-multi-choice","11","100616","0.0-9.0","36q31rv3d28f8nz2qmju","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"2605","","survey-text","12","103236","0.0-10.0","36q31rv3d28f8nz2qmju","female","battle","","","age","","","{""Q0"":""44""}"
"2236","","survey-text","13","105473","0.0-11.0","36q31rv3d28f8nz2qmju","female","battle","","","purpose","","","{""Q0"":""""}"
"1208","","survey-text","14","106683","0.0-12.0","36q31rv3d28f8nz2qmju","female","battle","","","feedback","","","{""Q0"":""""}"
"8760","debrief.html","external-html","15","115866","0.0-13.0","36q31rv3d28f8nz2qmju","female","battle","","","","","",""
