"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"28906","consent.html","external-html","0","28998","0.0-0.0","3waz7r703h7pcazxtebd","female","battle","","","","","",""
"3751","","image-button-response","1","32753","0.0-1.0","3waz7r703h7pcazxtebd","female","battle","check-1.png","1","check1","","",""
"7997","","image-button-response","2","40753","0.0-2.0","3waz7r703h7pcazxtebd","female","battle","check-2.png","2","check2","","",""
"48471","","instructions","3","89225","0.0-3.0","3waz7r703h7pcazxtebd","female","battle","","","","[{""page_index"":0,""viewing_time"":12606},{""page_index"":1,""viewing_time"":24489},{""page_index"":2,""viewing_time"":8856},{""page_index"":3,""viewing_time"":2519}]","",""
"89910","","html-slider-response","4","179137","0.0-4.0","3waz7r703h7pcazxtebd","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","50",""
"78582","","survey-text","5","257721","0.0-5.0","3waz7r703h7pcazxtebd","female","battle","","","description","","","{""Q0"":""She is a girl with cancer and has to have chemo therapy on a regular basis.  She needs money for the many expenses she is likely to encounter while getting treatment.""}"
"14558","","survey-likert","6","272281","0.0-6.0-0.0","3waz7r703h7pcazxtebd","female","battle","","","urgent","","","{""Q0"":4}"
"5389","","survey-likert","7","277674","0.0-6.0-1.0","3waz7r703h7pcazxtebd","female","battle","","","sympathy","","","{""Q0"":1}"
"19970","","survey-text","8","297649","0.0-7.0","3waz7r703h7pcazxtebd","female","battle","","","past-donations","","","{""Q0"":""4""}"
"8438","","survey-multi-choice","9","306089","0.0-8.0-0.0","3waz7r703h7pcazxtebd","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"3676","","survey-multi-choice","10","309769","0.0-8.0-1.0","3waz7r703h7pcazxtebd","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"22867","","survey-multi-choice","11","332649","0.0-9.0","3waz7r703h7pcazxtebd","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"8570","","survey-text","12","341225","0.0-10.0","3waz7r703h7pcazxtebd","female","battle","","","age","","","{""Q0"":""69""}"
"36599","","survey-text","13","377825","0.0-11.0","3waz7r703h7pcazxtebd","female","battle","","","purpose","","","{""Q0"":""I think you are gauging people's desire to help others.""}"
"6782","","survey-text","14","384609","0.0-12.0","3waz7r703h7pcazxtebd","female","battle","","","feedback","","","{""Q0"":""None.""}"
"16435","debrief.html","external-html","15","401403","0.0-13.0","3waz7r703h7pcazxtebd","female","battle","","","","","",""
