"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"19455","consent.html","external-html","0","19578","0.0-0.0","5k7ojpybodh5n784649z","male","journey","","","","","",""
"6979","","image-button-response","1","26567","0.0-1.0","5k7ojpybodh5n784649z","male","journey","check-1.png","1","check1","","",""
"9446","","image-button-response","2","36016","0.0-2.0","5k7ojpybodh5n784649z","male","journey","check-2.png","2","check2","","",""
"73468","","instructions","3","109486","0.0-3.0","5k7ojpybodh5n784649z","male","journey","","","","[{""page_index"":0,""viewing_time"":18946},{""page_index"":1,""viewing_time"":31010},{""page_index"":2,""viewing_time"":20235},{""page_index"":3,""viewing_time"":3275}]","",""
"143961","","html-slider-response","4","253452","0.0-4.0","5k7ojpybodh5n784649z","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","10",""
"44673","","survey-text","5","298129","0.0-5.0","5k7ojpybodh5n784649z","male","journey","","","description","","","{""Q0"":""Jason needs help while going thru the cancer treatment. ""}"
"23161","","survey-likert","6","321295","0.0-6.0-0.0","5k7ojpybodh5n784649z","male","journey","","","urgent","","","{""Q0"":4}"
"7996","","survey-likert","7","329296","0.0-6.0-1.0","5k7ojpybodh5n784649z","male","journey","","","sympathy","","","{""Q0"":5}"
"17308","","survey-text","8","346608","0.0-7.0","5k7ojpybodh5n784649z","male","journey","","","past-donations","","","{""Q0"":""12""}"
"8987","","survey-multi-choice","9","355602","0.0-8.0-0.0","5k7ojpybodh5n784649z","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"4780","","survey-multi-choice","10","360387","0.0-8.0-1.0","5k7ojpybodh5n784649z","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"18972","","survey-multi-choice","11","379382","0.0-9.0","5k7ojpybodh5n784649z","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Doctorate (e.g. PhD, EdD)"",""Q2"":""More than $150,000"",""Q3"":""No""}"
"9240","","survey-text","12","388625","0.0-10.0","5k7ojpybodh5n784649z","male","journey","","","age","","","{""Q0"":""57""}"
"7316","","survey-text","13","395944","0.0-11.0","5k7ojpybodh5n784649z","male","journey","","","purpose","","","{""Q0"":""""}"
"5020","","survey-text","14","400967","0.0-12.0","5k7ojpybodh5n784649z","male","journey","","","feedback","","","{""Q0"":""""}"
"21790","debrief.html","external-html","15","423090","0.0-13.0","5k7ojpybodh5n784649z","male","journey","","","","","",""
