"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9188","consent.html","external-html","0","9519","0.0-0.0","5oafcmmaenpzwuw84mcz","female","battle","","","","","",""
"3337","","image-button-response","1","12860","0.0-1.0","5oafcmmaenpzwuw84mcz","female","battle","check-1.png","1","check1","","",""
"3332","","image-button-response","2","16193","0.0-2.0","5oafcmmaenpzwuw84mcz","female","battle","check-2.png","2","check2","","",""
"32604","","instructions","3","48798","0.0-3.0","5oafcmmaenpzwuw84mcz","female","battle","","","","[{""page_index"":0,""viewing_time"":6674},{""page_index"":1,""viewing_time"":18962},{""page_index"":2,""viewing_time"":5370},{""page_index"":3,""viewing_time"":1597}]","",""
"18818","","html-slider-response","4","67618","0.0-4.0","5oafcmmaenpzwuw84mcz","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","4",""
"269864","","survey-text","5","337484","0.0-5.0","5oafcmmaenpzwuw84mcz","female","battle","","","description","","","{""Q0"":""She had a thyroid surgery, but why it was happening, the doctor's found out she has Lymphoma. It is going to be a long, tough road ahead for Jennifer, as she has to go through chemo treatments, along with local radiation, hospital visits, and various medications. Her friend is raising money to help with the burden of all the medical costs.""}"
"7417","","survey-likert","6","344904","0.0-6.0-0.0","5oafcmmaenpzwuw84mcz","female","battle","","","urgent","","","{""Q0"":5}"
"4539","","survey-likert","7","349451","0.0-6.0-1.0","5oafcmmaenpzwuw84mcz","female","battle","","","sympathy","","","{""Q0"":4}"
"2843","","survey-text","8","352301","0.0-7.0","5oafcmmaenpzwuw84mcz","female","battle","","","past-donations","","","{""Q0"":""0""}"
"1969","","survey-multi-choice","9","354275","0.0-8.0-0.0","5oafcmmaenpzwuw84mcz","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"2056","","survey-multi-choice","10","356340","0.0-8.0-1.0","5oafcmmaenpzwuw84mcz","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"6769","","survey-multi-choice","11","363122","0.0-9.0","5oafcmmaenpzwuw84mcz","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3146","","survey-text","12","366276","0.0-10.0","5oafcmmaenpzwuw84mcz","female","battle","","","age","","","{""Q0"":""24""}"
"23579","","survey-text","13","389856","0.0-11.0","5oafcmmaenpzwuw84mcz","female","battle","","","purpose","","","{""Q0"":""How our explanations reflect how much we are willing to donate. ""}"
"3886","","survey-text","14","393743","0.0-12.0","5oafcmmaenpzwuw84mcz","female","battle","","","feedback","","","{""Q0"":""No""}"
"4656","debrief.html","external-html","15","399799","0.0-13.0","5oafcmmaenpzwuw84mcz","female","battle","","","","","",""
