"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11694","consent.html","external-html","0","11828","0.0-0.0","83zhoyu87457o5srk7qh","male","literal","","","","","",""
"1865","","image-button-response","1","13709","0.0-1.0","83zhoyu87457o5srk7qh","male","literal","check-1.png","1","check1","","",""
"4218","","image-button-response","2","17932","0.0-2.0","83zhoyu87457o5srk7qh","male","literal","check-2.png","2","check2","","",""
"36033","","instructions","3","53968","0.0-3.0","83zhoyu87457o5srk7qh","male","literal","","","","[{""page_index"":0,""viewing_time"":6625},{""page_index"":1,""viewing_time"":19178},{""page_index"":2,""viewing_time"":8489},{""page_index"":3,""viewing_time"":1739}]","",""
"48271","","html-slider-response","4","102246","0.0-4.0","83zhoyu87457o5srk7qh","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","10",""
"64753","","survey-text","5","167004","0.0-5.0","83zhoyu87457o5srk7qh","male","literal","","","description","","","{""Q0"":""Jason had complicated thyroid surgery and also found to have lymphoma. He is going through tough radiation treatment, and donating any amount of money would be helpful. ""}"
"12733","","survey-likert","6","179743","0.0-6.0-0.0","83zhoyu87457o5srk7qh","male","literal","","","urgent","","","{""Q0"":3}"
"3389","","survey-likert","7","183146","0.0-6.0-1.0","83zhoyu87457o5srk7qh","male","literal","","","sympathy","","","{""Q0"":4}"
"9406","","survey-text","8","192567","0.0-7.0","83zhoyu87457o5srk7qh","male","literal","","","past-donations","","","{""Q0"":""2""}"
"3911","","survey-multi-choice","9","196486","0.0-8.0-0.0","83zhoyu87457o5srk7qh","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2409","","survey-multi-choice","10","198911","0.0-8.0-1.0","83zhoyu87457o5srk7qh","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"10871","","survey-multi-choice","11","209809","0.0-9.0","83zhoyu87457o5srk7qh","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3147","","survey-text","12","212971","0.0-10.0","83zhoyu87457o5srk7qh","male","literal","","","age","","","{""Q0"":""31""}"
"23456","","survey-text","13","236431","0.0-11.0","83zhoyu87457o5srk7qh","male","literal","","","purpose","","","{""Q0"":""Empathy based on what we read.""}"
"1640","","survey-text","14","238075","0.0-12.0","83zhoyu87457o5srk7qh","male","literal","","","feedback","","","{""Q0"":""""}"
"4929","debrief.html","external-html","15","243299","0.0-13.0","83zhoyu87457o5srk7qh","male","literal","","","","","",""
