"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"4828","consent.html","external-html","0","5138","0.0-0.0","cntxtjjbnxxdap23mknx","male","journey","","","","","",""
"5136","","image-button-response","1","10281","0.0-1.0","cntxtjjbnxxdap23mknx","male","journey","check-1.png","1","check1","","",""
"7780","","image-button-response","2","18064","0.0-2.0","cntxtjjbnxxdap23mknx","male","journey","check-2.png","2","check2","","",""
"4631","","instructions","3","22697","0.0-3.0","cntxtjjbnxxdap23mknx","male","journey","","","","[{""page_index"":0,""viewing_time"":1645},{""page_index"":1,""viewing_time"":1223},{""page_index"":2,""viewing_time"":976},{""page_index"":3,""viewing_time"":784}]","",""
"6817","","html-slider-response","4","29521","0.0-4.0","cntxtjjbnxxdap23mknx","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","36",""
"36355","","survey-text","5","65881","0.0-5.0","cntxtjjbnxxdap23mknx","male","journey","","","description","","","{""Q0"":"" friends Jason Finley had various— fair-haired Sigurd Bjaastad, whose ... a foreman's position with the Alaskan Lumber Company, the same in which he had ""}"
"3851","","survey-likert","6","69739","0.0-6.0-0.0","cntxtjjbnxxdap23mknx","male","journey","","","urgent","","","{""Q0"":4}"
"2608","","survey-likert","7","72352","0.0-6.0-1.0","cntxtjjbnxxdap23mknx","male","journey","","","sympathy","","","{""Q0"":5}"
"7966","","survey-text","8","80321","0.0-7.0","cntxtjjbnxxdap23mknx","male","journey","","","past-donations","","","{""Q0"":""3""}"
"5047","","survey-multi-choice","9","85376","0.0-8.0-0.0","cntxtjjbnxxdap23mknx","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"4899","","survey-multi-choice","10","90280","0.0-8.0-1.0","cntxtjjbnxxdap23mknx","male","journey","","","self-cancer","","","{""Q0"":""Yes""}"
"12401","","survey-multi-choice","11","102700","0.0-9.0","cntxtjjbnxxdap23mknx","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"10559","","survey-text","12","113264","0.0-10.0","cntxtjjbnxxdap23mknx","male","journey","","","age","","","{""Q0"":""47""}"
"1295","","survey-text","13","114561","0.0-11.0","cntxtjjbnxxdap23mknx","male","journey","","","purpose","","","{""Q0"":""""}"
"709","","survey-text","14","115273","0.0-12.0","cntxtjjbnxxdap23mknx","male","journey","","","feedback","","","{""Q0"":""""}"
"3355","debrief.html","external-html","15","120452","0.0-13.0","cntxtjjbnxxdap23mknx","male","journey","","","","","",""
