"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"50335","consent.html","external-html","0","50447","0.0-0.0","eadv7wcdecbbq96fqx1z","female","battle","","","","","",""
"2516","","image-button-response","1","52982","0.0-1.0","eadv7wcdecbbq96fqx1z","female","battle","check-1.png","1","check1","","",""
"5820","","image-button-response","2","58808","0.0-2.0","eadv7wcdecbbq96fqx1z","female","battle","check-2.png","2","check2","","",""
"38293","","instructions","3","97105","0.0-3.0","eadv7wcdecbbq96fqx1z","female","battle","","","","[{""page_index"":0,""viewing_time"":9830},{""page_index"":1,""viewing_time"":21526},{""page_index"":2,""viewing_time"":5237},{""page_index"":3,""viewing_time"":1693}]","",""
"72073","","html-slider-response","4","169201","0.0-4.0","eadv7wcdecbbq96fqx1z","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","10",""
"105631","","survey-text","5","274845","0.0-5.0","eadv7wcdecbbq96fqx1z","female","battle","","","description","","","{""Q0"":""Jennifer seems to be a strong fighter and very resilent person.I hope that the cemo will work and that Jennifer's body can fight.""}"
"7698","","survey-likert","6","282569","0.0-6.0-0.0","eadv7wcdecbbq96fqx1z","female","battle","","","urgent","","","{""Q0"":6}"
"2442","","survey-likert","7","285021","0.0-6.0-1.0","eadv7wcdecbbq96fqx1z","female","battle","","","sympathy","","","{""Q0"":5}"
"7427","","survey-text","8","292458","0.0-7.0","eadv7wcdecbbq96fqx1z","female","battle","","","past-donations","","","{""Q0"":""3""}"
"3116","","survey-multi-choice","9","295602","0.0-8.0-0.0","eadv7wcdecbbq96fqx1z","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"3687","","survey-multi-choice","10","299300","0.0-8.0-1.0","eadv7wcdecbbq96fqx1z","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"10366","","survey-multi-choice","11","309731","0.0-9.0","eadv7wcdecbbq96fqx1z","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"7324","","survey-text","12","317064","0.0-10.0","eadv7wcdecbbq96fqx1z","female","battle","","","age","","","{""Q0"":""49""}"
"24359","","survey-text","13","341428","0.0-11.0","eadv7wcdecbbq96fqx1z","female","battle","","","purpose","","","{""Q0"":""To see how people would respind to charitable causes""}"
"5925","","survey-text","14","347358","0.0-12.0","eadv7wcdecbbq96fqx1z","female","battle","","","feedback","","","{""Q0"":""None""}"
"9629","debrief.html","external-html","15","357442","0.0-13.0","eadv7wcdecbbq96fqx1z","female","battle","","","","","",""
