"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"21551","consent.html","external-html","0","21664","0.0-0.0","ewerfqxkao5fpqpr61hy","male","literal","","","","","",""
"4074","","image-button-response","1","25741","0.0-1.0","ewerfqxkao5fpqpr61hy","male","literal","check-1.png","1","check1","","",""
"3098","","image-button-response","2","28841","0.0-2.0","ewerfqxkao5fpqpr61hy","male","literal","check-2.png","2","check2","","",""
"25121","","instructions","3","53962","0.0-3.0","ewerfqxkao5fpqpr61hy","male","literal","","","","[{""page_index"":0,""viewing_time"":9953},{""page_index"":1,""viewing_time"":11105},{""page_index"":2,""viewing_time"":3124},{""page_index"":3,""viewing_time"":938}]","",""
"44310","","html-slider-response","4","98275","0.0-4.0","ewerfqxkao5fpqpr61hy","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","","trial","","15",""
"43483","","survey-text","5","141760","0.0-5.0","ewerfqxkao5fpqpr61hy","male","literal","","","description","","","{""Q0"":""He is in a tough position at the moment and needs help.""}"
"8212","","survey-likert","6","149975","0.0-6.0-0.0","ewerfqxkao5fpqpr61hy","male","literal","","","urgent","","","{""Q0"":4}"
"6958","","survey-likert","7","156935","0.0-6.0-1.0","ewerfqxkao5fpqpr61hy","male","literal","","","sympathy","","","{""Q0"":4}"
"5930","","survey-text","8","162866","0.0-7.0","ewerfqxkao5fpqpr61hy","male","literal","","","past-donations","","","{""Q0"":""1""}"
"3805","","survey-multi-choice","9","166675","0.0-8.0-0.0","ewerfqxkao5fpqpr61hy","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2287","","survey-multi-choice","10","168965","0.0-8.0-1.0","ewerfqxkao5fpqpr61hy","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"16518","","survey-multi-choice","11","185492","0.0-9.0","ewerfqxkao5fpqpr61hy","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"3829","","survey-text","12","189323","0.0-10.0","ewerfqxkao5fpqpr61hy","male","literal","","","age","","","{""Q0"":""23""}"
"26518","","survey-text","13","215842","0.0-11.0","ewerfqxkao5fpqpr61hy","male","literal","","","purpose","","","{""Q0"":""Socio-economic standing when thinking about donating to a good cause""}"
"11782","","survey-text","14","227626","0.0-12.0","ewerfqxkao5fpqpr61hy","male","literal","","","feedback","","","{""Q0"":""No ""}"
"8633","debrief.html","external-html","15","236580","0.0-13.0","ewerfqxkao5fpqpr61hy","male","literal","","","","","",""
