"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"16241","consent.html","external-html","0","16352","0.0-0.0","gr9kw1gxyxem372pb16y","male","battle","","","","","",""
"3166","","image-button-response","1","19523","0.0-1.0","gr9kw1gxyxem372pb16y","male","battle","check-1.png","1","check1","","",""
"3192","","image-button-response","2","22717","0.0-2.0","gr9kw1gxyxem372pb16y","male","battle","check-2.png","2","check2","","",""
"58777","","instructions","3","81494","0.0-3.0","gr9kw1gxyxem372pb16y","male","battle","","","","[{""page_index"":0,""viewing_time"":10735},{""page_index"":1,""viewing_time"":39174},{""page_index"":2,""viewing_time"":7508},{""page_index"":3,""viewing_time"":1359}]","",""
"32880","","html-slider-response","4","114376","0.0-4.0","gr9kw1gxyxem372pb16y","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","45",""
"77219","","survey-text","5","191597","0.0-5.0","gr9kw1gxyxem372pb16y","male","battle","","","description","","","{""Q0"":""Jason is battling cancer and is undergoing chemo/radiation for the next several months. Obviously he's going to have medical and personal expenses he didn't anticipate so friends are raising money to help him out.""}"
"8629","","survey-likert","6","200228","0.0-6.0-0.0","gr9kw1gxyxem372pb16y","male","battle","","","sympathy","","","{""Q0"":6}"
"3303","","survey-likert","7","203561","0.0-6.0-1.0","gr9kw1gxyxem372pb16y","male","battle","","","urgent","","","{""Q0"":5}"
"10764","","survey-text","8","214346","0.0-7.0","gr9kw1gxyxem372pb16y","male","battle","","","past-donations","","","{""Q0"":""35""}"
"4132","","survey-multi-choice","9","218482","0.0-8.0-0.0","gr9kw1gxyxem372pb16y","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"6149","","survey-multi-choice","10","224661","0.0-8.0-1.0","gr9kw1gxyxem372pb16y","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"21948","","survey-multi-choice","11","246632","0.0-9.0","gr9kw1gxyxem372pb16y","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"4959","","survey-text","12","251610","0.0-10.0","gr9kw1gxyxem372pb16y","male","battle","","","age","","","{""Q0"":""40""}"
"44936","","survey-text","13","296548","0.0-11.0","gr9kw1gxyxem372pb16y","male","battle","","","purpose","","","{""Q0"":""Empty through social platforms ""}"
"2702","","survey-text","14","299252","0.0-12.0","gr9kw1gxyxem372pb16y","male","battle","","","feedback","","","{""Q0"":""""}"
"27514","debrief.html","external-html","15","326930","0.0-13.0","gr9kw1gxyxem372pb16y","male","battle","","","","","",""
