"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"12854","consent.html","external-html","0","12998","0.0-0.0","gwevubxvj6g86t2z2x8m","female","battle","","","","","",""
"4158","","image-button-response","1","17163","0.0-1.0","gwevubxvj6g86t2z2x8m","female","battle","check-1.png","1","check1","","",""
"4290","","image-button-response","2","21457","0.0-2.0","gwevubxvj6g86t2z2x8m","female","battle","check-2.png","2","check2","","",""
"19209","","instructions","3","40668","0.0-3.0","gwevubxvj6g86t2z2x8m","female","battle","","","","[{""page_index"":0,""viewing_time"":5951},{""page_index"":1,""viewing_time"":9293},{""page_index"":2,""viewing_time"":2361},{""page_index"":3,""viewing_time"":1602}]","",""
"18235","","html-slider-response","4","58907","0.0-4.0","gwevubxvj6g86t2z2x8m","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","20",""
"75140","","survey-text","5","134052","0.0-5.0","gwevubxvj6g86t2z2x8m","female","battle","","","description","","","{""Q0"":""She a very serious condition of Nymphomania and need financial assitance.""}"
"5951","","survey-likert","6","140007","0.0-6.0-0.0","gwevubxvj6g86t2z2x8m","female","battle","","","sympathy","","","{""Q0"":6}"
"4229","","survey-likert","7","144248","0.0-6.0-1.0","gwevubxvj6g86t2z2x8m","female","battle","","","urgent","","","{""Q0"":6}"
"4880","","survey-text","8","149139","0.0-7.0","gwevubxvj6g86t2z2x8m","female","battle","","","past-donations","","","{""Q0"":""0""}"
"72359","","survey-multi-choice","9","221503","0.0-8.0-0.0","gwevubxvj6g86t2z2x8m","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"3591","","survey-multi-choice","10","225104","0.0-8.0-1.0","gwevubxvj6g86t2z2x8m","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"22191","","survey-multi-choice","11","247315","0.0-9.0","gwevubxvj6g86t2z2x8m","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"5142","","survey-text","12","252467","0.0-10.0","gwevubxvj6g86t2z2x8m","female","battle","","","age","","","{""Q0"":""65""}"
"3674","","survey-text","13","256144","0.0-11.0","gwevubxvj6g86t2z2x8m","female","battle","","","purpose","","","{""Q0"":""""}"
"5985","","survey-text","14","262131","0.0-12.0","gwevubxvj6g86t2z2x8m","female","battle","","","feedback","","","{""Q0"":""""}"
"6782","debrief.html","external-html","15","269363","0.0-13.0","gwevubxvj6g86t2z2x8m","female","battle","","","","","",""
