"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"62071","consent.html","external-html","0","62564","0.0-0.0","gwyynax42az1d7k9uzof","female","literal","","","","","",""
"6949","","image-button-response","1","69518","0.0-1.0","gwyynax42az1d7k9uzof","female","literal","check-1.png","1","check1","","",""
"5023","","image-button-response","2","74552","0.0-2.0","gwyynax42az1d7k9uzof","female","literal","check-2.png","2","check2","","",""
"10415","","instructions","3","84968","0.0-3.0","gwyynax42az1d7k9uzof","female","literal","","","","[{""page_index"":0,""viewing_time"":2233},{""page_index"":1,""viewing_time"":2819},{""page_index"":2,""viewing_time"":4055},{""page_index"":3,""viewing_time"":1307}]","",""
"14633","","html-slider-response","4","99605","0.0-4.0","gwyynax42az1d7k9uzof","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","28",""
"109878","","survey-text","5","209486","0.0-5.0","gwyynax42az1d7k9uzof","female","literal","","","description","","","{""Q0"":"" feel very worried about her and feelin to take care of  her as a friend""}"
"2862","","survey-likert","6","212351","0.0-6.0-0.0","gwyynax42az1d7k9uzof","female","literal","","","sympathy","","","{""Q0"":4}"
"1873","","survey-likert","7","214227","0.0-6.0-1.0","gwyynax42az1d7k9uzof","female","literal","","","urgent","","","{""Q0"":4}"
"4575","","survey-text","8","218805","0.0-7.0","gwyynax42az1d7k9uzof","female","literal","","","past-donations","","","{""Q0"":""2""}"
"3095","","survey-multi-choice","9","221906","0.0-8.0-0.0","gwyynax42az1d7k9uzof","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2599","","survey-multi-choice","10","224510","0.0-8.0-1.0","gwyynax42az1d7k9uzof","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"7861","","survey-multi-choice","11","232393","0.0-9.0","gwyynax42az1d7k9uzof","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"4719","","survey-text","12","237114","0.0-10.0","gwyynax42az1d7k9uzof","female","literal","","","age","","","{""Q0"":""29""}"
"3034","","survey-text","13","240151","0.0-11.0","gwyynax42az1d7k9uzof","female","literal","","","purpose","","","{""Q0"":""""}"
"2152","","survey-text","14","242304","0.0-12.0","gwyynax42az1d7k9uzof","female","literal","","","feedback","","","{""Q0"":""""}"
"4963","debrief.html","external-html","15","247647","0.0-13.0","gwyynax42az1d7k9uzof","female","literal","","","","","",""
