"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"25286","consent.html","external-html","0","25417","0.0-0.0","k46wa3ya7ezatsn6u4jz","female","journey","","","","","",""
"2878","","image-button-response","1","28310","0.0-1.0","k46wa3ya7ezatsn6u4jz","female","journey","check-1.png","1","check1","","",""
"3118","","image-button-response","2","31442","0.0-2.0","k46wa3ya7ezatsn6u4jz","female","journey","check-2.png","2","check2","","",""
"26328","","instructions","3","57782","0.0-3.0","k46wa3ya7ezatsn6u4jz","female","journey","","","","[{""page_index"":0,""viewing_time"":6808},{""page_index"":1,""viewing_time"":10436},{""page_index"":2,""viewing_time"":7704},{""page_index"":3,""viewing_time"":1370}]","",""
"42072","","html-slider-response","4","99871","0.0-4.0","k46wa3ya7ezatsn6u4jz","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","30",""
"68894","","survey-text","5","168792","0.0-5.0","k46wa3ya7ezatsn6u4jz","female","journey","","","description","","","{""Q0"":""Jennifer was found to have lymphoma after a thyroid surgery. She's going to have chemotherapy and other treatments for the next 4 months""}"
"4747","","survey-likert","6","173556","0.0-6.0-0.0","k46wa3ya7ezatsn6u4jz","female","journey","","","sympathy","","","{""Q0"":4}"
"2296","","survey-likert","7","175859","0.0-6.0-1.0","k46wa3ya7ezatsn6u4jz","female","journey","","","urgent","","","{""Q0"":5}"
"8734","","survey-text","8","184598","0.0-7.0","k46wa3ya7ezatsn6u4jz","female","journey","","","past-donations","","","{""Q0"":""36""}"
"2127","","survey-multi-choice","9","186739","0.0-8.0-0.0","k46wa3ya7ezatsn6u4jz","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"2545","","survey-multi-choice","10","189293","0.0-8.0-1.0","k46wa3ya7ezatsn6u4jz","female","journey","","","ff-cancer","","","{""Q0"":""No""}"
"9565","","survey-multi-choice","11","198901","0.0-9.0","k46wa3ya7ezatsn6u4jz","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"4283","","survey-text","12","203191","0.0-10.0","k46wa3ya7ezatsn6u4jz","female","journey","","","age","","","{""Q0"":""28""}"
"14925","","survey-text","13","218122","0.0-11.0","k46wa3ya7ezatsn6u4jz","female","journey","","","purpose","","","{""Q0"":""Charitableness and persuasion""}"
"3131","","survey-text","14","221260","0.0-12.0","k46wa3ya7ezatsn6u4jz","female","journey","","","feedback","","","{""Q0"":""""}"
"2476","debrief.html","external-html","15","224111","0.0-13.0","k46wa3ya7ezatsn6u4jz","female","journey","","","","","",""
