"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"73898","consent.html","external-html","0","74303","0.0-0.0","q3o40lod6av1bs56z7gw","female","literal","","","","","",""
"11150","","image-button-response","1","85459","0.0-1.0","q3o40lod6av1bs56z7gw","female","literal","check-1.png","2","check1","","",""
"5176","","image-button-response","2","90650","0.0-2.0","q3o40lod6av1bs56z7gw","female","literal","check-2.png","1","check2","","",""
"8308","","instructions","3","98965","0.0-3.0","q3o40lod6av1bs56z7gw","female","literal","","","","[{""page_index"":0,""viewing_time"":3177},{""page_index"":1,""viewing_time"":2015},{""page_index"":2,""viewing_time"":1821},{""page_index"":3,""viewing_time"":1293}]","",""
"31170","","html-slider-response","4","130138","0.0-4.0","q3o40lod6av1bs56z7gw","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","34",""
"13","","survey-text","5","130156","0.0-5.0","q3o40lod6av1bs56z7gw","female","literal","","","description","","","{""Q0"":""""}"
"7762","","survey-likert","6","137922","0.0-6.0-0.0","q3o40lod6av1bs56z7gw","female","literal","","","urgent","","","{""Q0"":4}"
"5130","","survey-likert","7","143054","0.0-6.0-1.0","q3o40lod6av1bs56z7gw","female","literal","","","sympathy","","","{""Q0"":4}"
"5577","","survey-text","8","148634","0.0-7.0","q3o40lod6av1bs56z7gw","female","literal","","","past-donations","","","{""Q0"":""6""}"
"11495","","survey-multi-choice","9","160133","0.0-8.0-0.0","q3o40lod6av1bs56z7gw","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"4877","","survey-multi-choice","10","165016","0.0-8.0-1.0","q3o40lod6av1bs56z7gw","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"26316","","survey-multi-choice","11","191357","0.0-9.0","q3o40lod6av1bs56z7gw","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"7873","","survey-text","12","199231","0.0-10.0","q3o40lod6av1bs56z7gw","female","literal","","","age","","","{""Q0"":""32""}"
"4605","","survey-text","13","203837","0.0-11.0","q3o40lod6av1bs56z7gw","female","literal","","","purpose","","","{""Q0"":""""}"
"11577","","survey-text","14","215417","0.0-12.0","q3o40lod6av1bs56z7gw","female","literal","","","feedback","","","{""Q0"":""""}"
"26529","debrief.html","external-html","15","242427","0.0-13.0","q3o40lod6av1bs56z7gw","female","literal","","","","","",""
