"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"17203","consent.html","external-html","0","17523","0.0-0.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","","","",""
"18914","","image-button-response","1","36445","0.0-1.0","qjdgtmmoxzpkqcyf1l11","female","battle","check-1.png","1","check1","","",""
"4535","","image-button-response","2","40984","0.0-2.0","qjdgtmmoxzpkqcyf1l11","female","battle","check-2.png","2","check2","","",""
"61239","","instructions","3","102225","0.0-3.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","","[{""page_index"":0,""viewing_time"":11159},{""page_index"":1,""viewing_time"":33215},{""page_index"":2,""viewing_time"":15049},{""page_index"":3,""viewing_time"":1814}]","",""
"85609","","html-slider-response","4","187839","0.0-4.0","qjdgtmmoxzpkqcyf1l11","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","30",""
"127391","","survey-text","5","315234","0.0-5.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","description","","","{""Q0"":""it is a pathetic situation,and anyone can be a victim of cancer. there is a determination to fight and hope she wins the battle.""}"
"9516","","survey-likert","6","324756","0.0-6.0-0.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","urgent","","","{""Q0"":5}"
"4498","","survey-likert","7","329257","0.0-6.0-1.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","sympathy","","","{""Q0"":6}"
"9393","","survey-text","8","338654","0.0-7.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","past-donations","","","{""Q0"":""5""}"
"4467","","survey-multi-choice","9","343132","0.0-8.0-0.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"4848","","survey-multi-choice","10","347986","0.0-8.0-1.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"16260","","survey-multi-choice","11","364263","0.0-9.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"5974","","survey-text","12","370241","0.0-10.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","age","","","{""Q0"":""31""}"
"17479","","survey-text","13","387722","0.0-11.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","purpose","","","{""Q0"":""""}"
"3224","","survey-text","14","390949","0.0-12.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","feedback","","","{""Q0"":""""}"
"20360","debrief.html","external-html","15","412417","0.0-13.0","qjdgtmmoxzpkqcyf1l11","female","battle","","","","","",""
