"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"59146","consent.html","external-html","0","59256","0.0-0.0","ryehshvwsvddcfpzmjdw","female","battle","","","","","",""
"3922","","image-button-response","1","63181","0.0-1.0","ryehshvwsvddcfpzmjdw","female","battle","check-1.png","1","check1","","",""
"4273","","image-button-response","2","67455","0.0-2.0","ryehshvwsvddcfpzmjdw","female","battle","check-2.png","2","check2","","",""
"47384","","instructions","3","114840","0.0-3.0","ryehshvwsvddcfpzmjdw","female","battle","","","","[{""page_index"":0,""viewing_time"":14850},{""page_index"":1,""viewing_time"":23601},{""page_index"":2,""viewing_time"":7633},{""page_index"":3,""viewing_time"":1299}]","",""
"183058","","html-slider-response","4","297900","0.0-4.0","ryehshvwsvddcfpzmjdw","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","35",""
"85010","","survey-text","5","382911","0.0-5.0","ryehshvwsvddcfpzmjdw","female","battle","","","description","","","{""Q0"":""A woman stricken with stage II lymphoma needs some additional financial support. Her best friend is organizing a fundraiser to help.""}"
"27304","","survey-likert","6","410217","0.0-6.0-0.0","ryehshvwsvddcfpzmjdw","female","battle","","","urgent","","","{""Q0"":3}"
"4972","","survey-likert","7","415190","0.0-6.0-1.0","ryehshvwsvddcfpzmjdw","female","battle","","","sympathy","","","{""Q0"":5}"
"7612","","survey-text","8","422803","0.0-7.0","ryehshvwsvddcfpzmjdw","female","battle","","","past-donations","","","{""Q0"":""1""}"
"9882","","survey-multi-choice","9","432687","0.0-8.0-0.0","ryehshvwsvddcfpzmjdw","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"4036","","survey-multi-choice","10","436725","0.0-8.0-1.0","ryehshvwsvddcfpzmjdw","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"19593","","survey-multi-choice","11","456324","0.0-9.0","ryehshvwsvddcfpzmjdw","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5706","","survey-text","12","462032","0.0-10.0","ryehshvwsvddcfpzmjdw","female","battle","","","age","","","{""Q0"":""52""}"
"63789","","survey-text","13","525821","0.0-11.0","ryehshvwsvddcfpzmjdw","female","battle","","","purpose","","","{""Q0"":""Effects of specific language in crowdsource funding efforts.""}"
"7121","","survey-text","14","532943","0.0-12.0","ryehshvwsvddcfpzmjdw","female","battle","","","feedback","","","{""Q0"":""""}"
"144791","debrief.html","external-html","15","678139","0.0-13.0","ryehshvwsvddcfpzmjdw","female","battle","","","","","",""
