"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"15021","consent.html","external-html","0","15131","0.0-0.0","vg0u1n3tz990uvj2vgbn","female","battle","","","","","",""
"3874","","image-button-response","1","19021","0.0-1.0","vg0u1n3tz990uvj2vgbn","female","battle","check-1.png","1","check1","","",""
"5538","","image-button-response","2","24567","0.0-2.0","vg0u1n3tz990uvj2vgbn","female","battle","check-2.png","2","check2","","",""
"50779","","instructions","3","75350","0.0-3.0","vg0u1n3tz990uvj2vgbn","female","battle","","","","[{""page_index"":0,""viewing_time"":9804},{""page_index"":1,""viewing_time"":26852},{""page_index"":2,""viewing_time"":11461},{""page_index"":3,""viewing_time"":2653}]","",""
"150114","","html-slider-response","4","225483","0.0-4.0","vg0u1n3tz990uvj2vgbn","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","45",""
"53178","","survey-text","5","278670","0.0-5.0","vg0u1n3tz990uvj2vgbn","female","battle","","","description","","","{""Q0"":""A girl has stage 2 lymphoma and is trying to raise money to help pay for expenses.""}"
"10036","","survey-likert","6","288714","0.0-6.0-0.0","vg0u1n3tz990uvj2vgbn","female","battle","","","urgent","","","{""Q0"":5}"
"4189","","survey-likert","7","292914","0.0-6.0-1.0","vg0u1n3tz990uvj2vgbn","female","battle","","","sympathy","","","{""Q0"":6}"
"4953","","survey-text","8","297877","0.0-7.0","vg0u1n3tz990uvj2vgbn","female","battle","","","past-donations","","","{""Q0"":""2""}"
"6042","","survey-multi-choice","9","303930","0.0-8.0-0.0","vg0u1n3tz990uvj2vgbn","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"3349","","survey-multi-choice","10","307289","0.0-8.0-1.0","vg0u1n3tz990uvj2vgbn","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"16970","","survey-multi-choice","11","324302","0.0-9.0","vg0u1n3tz990uvj2vgbn","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"7172","","survey-text","12","331483","0.0-10.0","vg0u1n3tz990uvj2vgbn","female","battle","","","age","","","{""Q0"":""33""}"
"19259","","survey-text","13","350749","0.0-11.0","vg0u1n3tz990uvj2vgbn","female","battle","","","purpose","","","{""Q0"":""Hopefully she gets what she needs ""}"
"9833","","survey-text","14","360586","0.0-12.0","vg0u1n3tz990uvj2vgbn","female","battle","","","feedback","","","{""Q0"":""No""}"
"3009","debrief.html","external-html","15","363814","0.0-13.0","vg0u1n3tz990uvj2vgbn","female","battle","","","","","",""
