"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"30169","consent.html","external-html","0","31936","0.0-0.0","x7shu9mtsmpkepgvw8x0","female","literal","","","","","",""
"6306","","image-button-response","1","38249","0.0-1.0","x7shu9mtsmpkepgvw8x0","female","literal","check-1.png","1","check1","","",""
"7792","","image-button-response","2","46044","0.0-2.0","x7shu9mtsmpkepgvw8x0","female","literal","check-2.png","2","check2","","",""
"59102","","instructions","3","105148","0.0-3.0","x7shu9mtsmpkepgvw8x0","female","literal","","","","[{""page_index"":0,""viewing_time"":11727},{""page_index"":1,""viewing_time"":34598},{""page_index"":2,""viewing_time"":9925},{""page_index"":3,""viewing_time"":2851}]","",""
"27557","","html-slider-response","4","132708","0.0-4.0","x7shu9mtsmpkepgvw8x0","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","25",""
"113704","","survey-text","5","246414","0.0-5.0","x7shu9mtsmpkepgvw8x0","female","literal","","","description","","","{""Q0"":""she is very calm but this situation her never expect ""}"
"12930","","survey-likert","6","259350","0.0-6.0-0.0","x7shu9mtsmpkepgvw8x0","female","literal","","","urgent","","","{""Q0"":4}"
"6482","","survey-likert","7","265833","0.0-6.0-1.0","x7shu9mtsmpkepgvw8x0","female","literal","","","sympathy","","","{""Q0"":3}"
"8022","","survey-text","8","273857","0.0-7.0","x7shu9mtsmpkepgvw8x0","female","literal","","","past-donations","","","{""Q0"":""2""}"
"6770","","survey-multi-choice","9","280632","0.0-8.0-0.0","x7shu9mtsmpkepgvw8x0","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"5987","","survey-multi-choice","10","286623","0.0-8.0-1.0","x7shu9mtsmpkepgvw8x0","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"23783","","survey-multi-choice","11","310420","0.0-9.0","x7shu9mtsmpkepgvw8x0","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"6397","","survey-text","12","316819","0.0-10.0","x7shu9mtsmpkepgvw8x0","female","literal","","","age","","","{""Q0"":""28""}"
"5425","","survey-text","13","322245","0.0-11.0","x7shu9mtsmpkepgvw8x0","female","literal","","","purpose","","","{""Q0"":""""}"
"68419","","survey-text","14","390665","0.0-12.0","x7shu9mtsmpkepgvw8x0","female","literal","","","feedback","","","{""Q0"":""Actually its a good thing you do.""}"
"16660","debrief.html","external-html","15","409196","0.0-13.0","x7shu9mtsmpkepgvw8x0","female","literal","","","","","",""
