"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11170","consent.html","external-html","0","11466","0.0-0.0","0cdw81k3eylod6pjhhwv","female","literal","","","","","",""
"2462","","image-button-response","1","13934","0.0-1.0","0cdw81k3eylod6pjhhwv","female","literal","check-1.png","1","check1","","",""
"2535","","image-button-response","2","16474","0.0-2.0","0cdw81k3eylod6pjhhwv","female","literal","check-2.png","2","check2","","",""
"16560","","instructions","3","33036","0.0-3.0","0cdw81k3eylod6pjhhwv","female","literal","","","","[{""page_index"":0,""viewing_time"":1124},{""page_index"":1,""viewing_time"":3384},{""page_index"":2,""viewing_time"":9708},{""page_index"":3,""viewing_time"":2341}]","",""
"17374","","html-slider-response","4","50416","0.0-4.0","0cdw81k3eylod6pjhhwv","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","39",""
"109797","","survey-text","5","160218","0.0-5.0","0cdw81k3eylod6pjhhwv","female","literal","","","description","","","{""Q0"":""anyone who has meet my best friend jennifer knows that she has a heart of gold .but after undrgoing a cpmplicated thyroid surgery.""}"
"14818","","survey-likert","6","175041","0.0-6.0-0.0","0cdw81k3eylod6pjhhwv","female","literal","","","urgent","","","{""Q0"":4}"
"5169","","survey-likert","7","180215","0.0-6.0-1.0","0cdw81k3eylod6pjhhwv","female","literal","","","sympathy","","","{""Q0"":5}"
"12081","","survey-text","8","192301","0.0-7.0","0cdw81k3eylod6pjhhwv","female","literal","","","past-donations","","","{""Q0"":""5""}"
"9558","","survey-multi-choice","9","201869","0.0-8.0-0.0","0cdw81k3eylod6pjhhwv","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"7383","","survey-multi-choice","10","209261","0.0-8.0-1.0","0cdw81k3eylod6pjhhwv","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"13024","","survey-multi-choice","11","222315","0.0-9.0","0cdw81k3eylod6pjhhwv","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"9033","","survey-text","12","231353","0.0-10.0","0cdw81k3eylod6pjhhwv","female","literal","","","age","","","{""Q0"":""45""}"
"16083","","survey-text","13","247439","0.0-11.0","0cdw81k3eylod6pjhhwv","female","literal","","","purpose","","","{""Q0"":""very good""}"
"41842","","survey-text","14","289284","0.0-12.0","0cdw81k3eylod6pjhhwv","female","literal","","","feedback","","","{""Q0"":""extraordinary survey""}"
"28732","debrief.html","external-html","15","318868","0.0-13.0","0cdw81k3eylod6pjhhwv","female","literal","","","","","",""
