"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"44923","consent.html","external-html","0","45079","0.0-0.0","29u9tcxx537tvkhe0k7b","female","battle","","","","","",""
"5010","","image-button-response","1","50093","0.0-1.0","29u9tcxx537tvkhe0k7b","female","battle","check-1.png","1","check1","","",""
"5886","","image-button-response","2","55982","0.0-2.0","29u9tcxx537tvkhe0k7b","female","battle","check-2.png","2","check2","","",""
"66573","","instructions","3","122556","0.0-3.0","29u9tcxx537tvkhe0k7b","female","battle","","","","[{""page_index"":0,""viewing_time"":2440},{""page_index"":1,""viewing_time"":50948},{""page_index"":2,""viewing_time"":11021},{""page_index"":3,""viewing_time"":2162}]","",""
"20790","","html-slider-response","4","143351","0.0-4.0","29u9tcxx537tvkhe0k7b","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","15",""
"50866","","survey-text","5","194219","0.0-5.0","29u9tcxx537tvkhe0k7b","female","battle","","","description","","","{""Q0"":""In the Jennifer's can handle very critical situation.""}"
"24054","","survey-likert","6","218277","0.0-6.0-0.0","29u9tcxx537tvkhe0k7b","female","battle","","","sympathy","","","{""Q0"":5}"
"8169","","survey-likert","7","226449","0.0-6.0-1.0","29u9tcxx537tvkhe0k7b","female","battle","","","urgent","","","{""Q0"":5}"
"7509","","survey-text","8","233960","0.0-7.0","29u9tcxx537tvkhe0k7b","female","battle","","","past-donations","","","{""Q0"":""5""}"
"29126","","survey-multi-choice","9","263090","0.0-8.0-0.0","29u9tcxx537tvkhe0k7b","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"8046","","survey-multi-choice","10","271140","0.0-8.0-1.0","29u9tcxx537tvkhe0k7b","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"21931","","survey-multi-choice","11","293080","0.0-9.0","29u9tcxx537tvkhe0k7b","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"13046","","survey-text","12","306129","0.0-10.0","29u9tcxx537tvkhe0k7b","female","battle","","","age","","","{""Q0"":""30""}"
"6718","","survey-text","13","312849","0.0-11.0","29u9tcxx537tvkhe0k7b","female","battle","","","purpose","","","{""Q0"":""""}"
"20032","","survey-text","14","332883","0.0-12.0","29u9tcxx537tvkhe0k7b","female","battle","","","feedback","","","{""Q0"":""I like this very much.""}"
"52926","debrief.html","external-html","15","386060","0.0-13.0","29u9tcxx537tvkhe0k7b","female","battle","","","","","",""
