"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"24843","consent.html","external-html","0","25339","0.0-0.0","2s7quaegollg351z1jbd","male","journey","","","","","",""
"6319","","image-button-response","1","31665","0.0-1.0","2s7quaegollg351z1jbd","male","journey","check-1.png","1","check1","","",""
"8252","","image-button-response","2","39922","0.0-2.0","2s7quaegollg351z1jbd","male","journey","check-2.png","0","check2","","",""
"110074","","instructions","3","149998","0.0-3.0","2s7quaegollg351z1jbd","male","journey","","","","[{""page_index"":0,""viewing_time"":57402},{""page_index"":1,""viewing_time"":22564},{""page_index"":2,""viewing_time"":27918},{""page_index"":3,""viewing_time"":2188}]","",""
"16640","","html-slider-response","4","166644","0.0-4.0","2s7quaegollg351z1jbd","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","40",""
"79926","","survey-text","5","246576","0.0-5.0","2s7quaegollg351z1jbd","male","journey","","","description","","","{""Q0"":""The 21st Annual Bowl for Jason's Friends event was held Saturday, March 2, 2019 where we honored and CELEBRATED the almost 1000 bowlers ""}"
"16360","","survey-likert","6","262943","0.0-6.0-0.0","2s7quaegollg351z1jbd","male","journey","","","sympathy","","","{""Q0"":6}"
"5297","","survey-likert","7","268245","0.0-6.0-1.0","2s7quaegollg351z1jbd","male","journey","","","urgent","","","{""Q0"":5}"
"30497","","survey-text","8","298746","0.0-7.0","2s7quaegollg351z1jbd","male","journey","","","past-donations","","","{""Q0"":""5""}"
"5496","","survey-multi-choice","9","304251","0.0-8.0-0.0","2s7quaegollg351z1jbd","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"8566","","survey-multi-choice","10","312823","0.0-8.0-1.0","2s7quaegollg351z1jbd","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"15855","","survey-multi-choice","11","328699","0.0-9.0","2s7quaegollg351z1jbd","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"7380","","survey-text","12","336085","0.0-10.0","2s7quaegollg351z1jbd","male","journey","","","age","","","{""Q0"":""46""}"
"34319","","survey-text","13","370409","0.0-11.0","2s7quaegollg351z1jbd","male","journey","","","purpose","","","{""Q0"":""in this experiment also give a experience.""}"
"16222","","survey-text","14","386636","0.0-12.0","2s7quaegollg351z1jbd","male","journey","","","feedback","","","{""Q0"":""nice experiment.""}"
"13161","debrief.html","external-html","15","400788","0.0-13.0","2s7quaegollg351z1jbd","male","journey","","","","","",""
