"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"44245","consent.html","external-html","0","44330","0.0-0.0","5ca7r126ycutz4435shn","male","battle","","","","","",""
"3424","","image-button-response","1","47755","0.0-1.0","5ca7r126ycutz4435shn","male","battle","check-1.png","1","check1","","",""
"5592","","image-button-response","2","53349","0.0-2.0","5ca7r126ycutz4435shn","male","battle","check-2.png","2","check2","","",""
"72704","","instructions","3","126053","0.0-3.0","5ca7r126ycutz4435shn","male","battle","","","","[{""page_index"":0,""viewing_time"":10122},{""page_index"":1,""viewing_time"":42638},{""page_index"":2,""viewing_time"":17238},{""page_index"":3,""viewing_time"":2705}]","",""
"79492","","html-slider-response","4","205546","0.0-4.0","5ca7r126ycutz4435shn","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","40",""
"85264","","survey-text","5","290812","0.0-5.0","5ca7r126ycutz4435shn","male","battle","","","description","","","{""Q0"":""Jason has stage II lymphoma, which was found after a thyroid surgery. He will be undergoing 3-4 months of chemotherapy, and possibly need radiation as well.  ""}"
"14075","","survey-likert","6","304888","0.0-6.0-0.0","5ca7r126ycutz4435shn","male","battle","","","sympathy","","","{""Q0"":4}"
"9825","","survey-likert","7","314714","0.0-6.0-1.0","5ca7r126ycutz4435shn","male","battle","","","urgent","","","{""Q0"":5}"
"19407","","survey-text","8","334122","0.0-7.0","5ca7r126ycutz4435shn","male","battle","","","past-donations","","","{""Q0"":""5 times""}"
"5334","","survey-multi-choice","9","339458","0.0-8.0-0.0","5ca7r126ycutz4435shn","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"5156","","survey-multi-choice","10","344617","0.0-8.0-1.0","5ca7r126ycutz4435shn","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"24577","","survey-multi-choice","11","369198","0.0-9.0","5ca7r126ycutz4435shn","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4752","","survey-text","12","373951","0.0-10.0","5ca7r126ycutz4435shn","male","battle","","","age","","","{""Q0"":""25""}"
"49760","","survey-text","13","423712","0.0-11.0","5ca7r126ycutz4435shn","male","battle","","","purpose","","","{""Q0"":""Past personal experience with cancer on monetary donations?""}"
"2968","","survey-text","14","426681","0.0-12.0","5ca7r126ycutz4435shn","male","battle","","","feedback","","","{""Q0"":""""}"
"37872","debrief.html","external-html","15","464867","0.0-13.0","5ca7r126ycutz4435shn","male","battle","","","","","",""
