"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5085","consent.html","external-html","0","5176","0.0-0.0","731np0dg3zutv63ou419","female","literal","","","","","",""
"3322","","image-button-response","1","8502","0.0-1.0","731np0dg3zutv63ou419","female","literal","check-1.png","1","check1","","",""
"5431","","image-button-response","2","13936","0.0-2.0","731np0dg3zutv63ou419","female","literal","check-2.png","2","check2","","",""
"64022","","instructions","3","77961","0.0-3.0","731np0dg3zutv63ou419","female","literal","","","","[{""page_index"":0,""viewing_time"":4314},{""page_index"":1,""viewing_time"":43683},{""page_index"":2,""viewing_time"":14734},{""page_index"":3,""viewing_time"":1289}]","",""
"116776","","html-slider-response","4","194739","0.0-4.0","731np0dg3zutv63ou419","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","44",""
"98619","","survey-text","5","293360","0.0-5.0","731np0dg3zutv63ou419","female","literal","","","description","","","{""Q0"":""Jennifer was diagnosed with lymphoma and her friend is asking for donations to help cater for Jennifer's medical expenses. ""}"
"10848","","survey-likert","6","304210","0.0-6.0-0.0","731np0dg3zutv63ou419","female","literal","","","sympathy","","","{""Q0"":6}"
"2736","","survey-likert","7","306949","0.0-6.0-1.0","731np0dg3zutv63ou419","female","literal","","","urgent","","","{""Q0"":6}"
"10835","","survey-text","8","317787","0.0-7.0","731np0dg3zutv63ou419","female","literal","","","past-donations","","","{""Q0"":""6""}"
"5597","","survey-multi-choice","9","323388","0.0-8.0-0.0","731np0dg3zutv63ou419","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2909","","survey-multi-choice","10","326302","0.0-8.0-1.0","731np0dg3zutv63ou419","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"11119","","survey-multi-choice","11","337431","0.0-9.0","731np0dg3zutv63ou419","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5626","","survey-text","12","343060","0.0-10.0","731np0dg3zutv63ou419","female","literal","","","age","","","{""Q0"":""25""}"
"48146","","survey-text","13","391208","0.0-11.0","731np0dg3zutv63ou419","female","literal","","","purpose","","","{""Q0"":""How many people are willing to donate.""}"
"4193","","survey-text","14","395402","0.0-12.0","731np0dg3zutv63ou419","female","literal","","","feedback","","","{""Q0"":""No""}"
"4633","debrief.html","external-html","15","400355","0.0-13.0","731np0dg3zutv63ou419","female","literal","","","","","",""
