"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"300579","consent.html","external-html","0","300844","0.0-0.0","74p9fwnu3o8r54ku6h02","female","battle","","","","","",""
"2021","","image-button-response","1","302869","0.0-1.0","74p9fwnu3o8r54ku6h02","female","battle","check-1.png","1","check1","","",""
"3277","","image-button-response","2","306150","0.0-2.0","74p9fwnu3o8r54ku6h02","female","battle","check-2.png","2","check2","","",""
"18382","","instructions","3","324534","0.0-3.0","74p9fwnu3o8r54ku6h02","female","battle","","","","[{""page_index"":0,""viewing_time"":3542},{""page_index"":1,""viewing_time"":8672},{""page_index"":2,""viewing_time"":5104},{""page_index"":3,""viewing_time"":1064}]","",""
"10804","","html-slider-response","4","335343","0.0-4.0","74p9fwnu3o8r54ku6h02","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","20",""
"56469","","survey-text","5","391813","0.0-5.0","74p9fwnu3o8r54ku6h02","female","battle","","","description","","","{""Q0"":""In an unfortunate situation that could have not been prevented. Therefore it means that it should try to help as much we all can do.""}"
"85500","","survey-likert","6","477315","0.0-6.0-0.0","74p9fwnu3o8r54ku6h02","female","battle","","","urgent","","","{""Q0"":4}"
"1815","","survey-likert","7","479133","0.0-6.0-1.0","74p9fwnu3o8r54ku6h02","female","battle","","","sympathy","","","{""Q0"":2}"
"3181","","survey-text","8","482316","0.0-7.0","74p9fwnu3o8r54ku6h02","female","battle","","","past-donations","","","{""Q0"":""4""}"
"2478","","survey-multi-choice","9","484797","0.0-8.0-0.0","74p9fwnu3o8r54ku6h02","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"2557","","survey-multi-choice","10","487356","0.0-8.0-1.0","74p9fwnu3o8r54ku6h02","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"8272","","survey-multi-choice","11","495638","0.0-9.0","74p9fwnu3o8r54ku6h02","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"2619","","survey-text","12","498259","0.0-10.0","74p9fwnu3o8r54ku6h02","female","battle","","","age","","","{""Q0"":""21""}"
"2422","","survey-text","13","500684","0.0-11.0","74p9fwnu3o8r54ku6h02","female","battle","","","purpose","","","{""Q0"":""""}"
"855","","survey-text","14","501540","0.0-12.0","74p9fwnu3o8r54ku6h02","female","battle","","","feedback","","","{""Q0"":""""}"
"2926","debrief.html","external-html","15","505104","0.0-13.0","74p9fwnu3o8r54ku6h02","female","battle","","","","","",""
