"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"24739","consent.html","external-html","0","25042","0.0-0.0","7978oq6c6qlztv7dlczb","male","battle","","","","","",""
"7593","","image-button-response","1","32638","0.0-1.0","7978oq6c6qlztv7dlczb","male","battle","check-1.png","1","check1","","",""
"5215","","image-button-response","2","37856","0.0-2.0","7978oq6c6qlztv7dlczb","male","battle","check-2.png","2","check2","","",""
"14199","","instructions","3","52056","0.0-3.0","7978oq6c6qlztv7dlczb","male","battle","","","","[{""page_index"":0,""viewing_time"":7418},{""page_index"":1,""viewing_time"":2560},{""page_index"":2,""viewing_time"":2140},{""page_index"":3,""viewing_time"":2080}]","",""
"24566","","html-slider-response","4","76625","0.0-4.0","7978oq6c6qlztv7dlczb","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","38",""
"39274","","survey-text","5","115902","0.0-5.0","7978oq6c6qlztv7dlczb","male","battle","","","description","","","{""Q0"":""janson suituation is very bad and it is more useful to help for him""}"
"8694","","survey-likert","6","124598","0.0-6.0-0.0","7978oq6c6qlztv7dlczb","male","battle","","","sympathy","","","{""Q0"":3}"
"8797","","survey-likert","7","133397","0.0-6.0-1.0","7978oq6c6qlztv7dlczb","male","battle","","","urgent","","","{""Q0"":4}"
"10077","","survey-text","8","143477","0.0-7.0","7978oq6c6qlztv7dlczb","male","battle","","","past-donations","","","{""Q0"":""20""}"
"7279","","survey-multi-choice","9","150759","0.0-8.0-0.0","7978oq6c6qlztv7dlczb","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"11805","","survey-multi-choice","10","162566","0.0-8.0-1.0","7978oq6c6qlztv7dlczb","male","battle","","","self-cancer","","","{""Q0"":""Yes""}"
"25851","","survey-multi-choice","11","188427","0.0-9.0","7978oq6c6qlztv7dlczb","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"8217","","survey-text","12","196646","0.0-10.0","7978oq6c6qlztv7dlczb","male","battle","","","age","","","{""Q0"":""33""}"
"9218","","survey-text","13","205866","0.0-11.0","7978oq6c6qlztv7dlczb","male","battle","","","purpose","","","{""Q0"":""good""}"
"6129","","survey-text","14","211997","0.0-12.0","7978oq6c6qlztv7dlczb","male","battle","","","feedback","","","{""Q0"":""nothing""}"
"42187","debrief.html","external-html","15","254778","0.0-13.0","7978oq6c6qlztv7dlczb","male","battle","","","","","",""
