"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"87849","consent.html","external-html","0","88307","0.0-0.0","7kwb1n8mom1ocx70825q","female","journey","","","","","",""
"5157","","image-button-response","1","93469","0.0-1.0","7kwb1n8mom1ocx70825q","female","journey","check-1.png","1","check1","","",""
"12748","","image-button-response","2","106220","0.0-2.0","7kwb1n8mom1ocx70825q","female","journey","check-2.png","2","check2","","",""
"56207","","instructions","3","162428","0.0-3.0","7kwb1n8mom1ocx70825q","female","journey","","","","[{""page_index"":0,""viewing_time"":9567},{""page_index"":1,""viewing_time"":31472},{""page_index"":2,""viewing_time"":13367},{""page_index"":3,""viewing_time"":1800}]","",""
"82279","","html-slider-response","4","244711","0.0-4.0","7kwb1n8mom1ocx70825q","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","50",""
"89226","","survey-text","5","333940","0.0-5.0","7kwb1n8mom1ocx70825q","female","journey","","","description","","","{""Q0"":""Very sad and Terrific situation for her she must have strong will to overcome this situation.""}"
"5806","","survey-likert","6","339749","0.0-6.0-0.0","7kwb1n8mom1ocx70825q","female","journey","","","urgent","","","{""Q0"":6}"
"5124","","survey-likert","7","344877","0.0-6.0-1.0","7kwb1n8mom1ocx70825q","female","journey","","","sympathy","","","{""Q0"":6}"
"7526","","survey-text","8","352404","0.0-7.0","7kwb1n8mom1ocx70825q","female","journey","","","past-donations","","","{""Q0"":""2""}"
"22277","","survey-multi-choice","9","374687","0.0-8.0-0.0","7kwb1n8mom1ocx70825q","female","journey","","","ff-cancer","","","{""Q0"":""Prefer not to say""}"
"11201","","survey-multi-choice","10","385893","0.0-8.0-1.0","7kwb1n8mom1ocx70825q","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"8493","","survey-multi-choice","11","394397","0.0-9.0","7kwb1n8mom1ocx70825q","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"7390","","survey-text","12","401789","0.0-10.0","7kwb1n8mom1ocx70825q","female","journey","","","age","","","{""Q0"":""38""}"
"2021","","survey-text","13","403813","0.0-11.0","7kwb1n8mom1ocx70825q","female","journey","","","purpose","","","{""Q0"":""""}"
"2158","","survey-text","14","405973","0.0-12.0","7kwb1n8mom1ocx70825q","female","journey","","","feedback","","","{""Q0"":""""}"
"5110","debrief.html","external-html","15","413071","0.0-13.0","7kwb1n8mom1ocx70825q","female","journey","","","","","",""
