"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"599260","consent.html","external-html","0","599716","0.0-0.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","","","",""
"2771","","image-button-response","1","602498","0.0-1.0","7nmgwnsbhlp3vppcv8jb","male","journey","check-1.png","1","check1","","",""
"1576","","image-button-response","2","604079","0.0-2.0","7nmgwnsbhlp3vppcv8jb","male","journey","check-2.png","2","check2","","",""
"6081","","instructions","3","610162","0.0-3.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","","[{""page_index"":0,""viewing_time"":1824},{""page_index"":1,""viewing_time"":1348},{""page_index"":2,""viewing_time"":1594},{""page_index"":3,""viewing_time"":1313}]","",""
"156919","","html-slider-response","4","767087","0.0-4.0","7nmgwnsbhlp3vppcv8jb","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","36",""
"15087","","survey-text","5","782178","0.0-5.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","description","","","{""Q0"":""As jason best friend iam raising money to help pay for the many expenses that will come along during the lengthy road ahead. he so strong and wants more than anything to get throught than anything to get through this journey any little bit helps we apprciate you all for helping  him this bumpy""}"
"5003","","survey-likert","6","787185","0.0-6.0-0.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","urgent","","","{""Q0"":4}"
"3505","","survey-likert","7","790694","0.0-6.0-1.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","sympathy","","","{""Q0"":5}"
"61653","","survey-text","8","852351","0.0-7.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","past-donations","","","{""Q0"":""30""}"
"4154","","survey-multi-choice","9","856513","0.0-8.0-0.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"3332","","survey-multi-choice","10","859850","0.0-8.0-1.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","self-cancer","","","{""Q0"":""Yes""}"
"16326","","survey-multi-choice","11","876197","0.0-9.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"7364","","survey-text","12","883565","0.0-10.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","age","","","{""Q0"":""48""}"
"3274","","survey-text","13","886841","0.0-11.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","purpose","","","{""Q0"":""""}"
"1637","","survey-text","14","888480","0.0-12.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","feedback","","","{""Q0"":""""}"
"6793","debrief.html","external-html","15","897369","0.0-13.0","7nmgwnsbhlp3vppcv8jb","male","journey","","","","","",""
