"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"4166","consent.html","external-html","0","4205","0.0-0.0","a91e0zzgzl2hr8spufov","female","battle","","","","","",""
"1787","","image-button-response","1","5993","0.0-1.0","a91e0zzgzl2hr8spufov","female","battle","check-1.png","1","check1","","",""
"2314","","image-button-response","2","8307","0.0-2.0","a91e0zzgzl2hr8spufov","female","battle","check-2.png","2","check2","","",""
"15626","","instructions","3","23933","0.0-3.0","a91e0zzgzl2hr8spufov","female","battle","","","","[{""page_index"":0,""viewing_time"":2145},{""page_index"":1,""viewing_time"":10127},{""page_index"":2,""viewing_time"":2553},{""page_index"":3,""viewing_time"":800}]","",""
"95917","","html-slider-response","4","119850","0.0-4.0","a91e0zzgzl2hr8spufov","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","5",""
"40746","","survey-text","5","160597","0.0-5.0","a91e0zzgzl2hr8spufov","female","battle","","","description","","","{""Q0"":""Jennifer developed type 2 lymphoma after a surgery and needs financial help. This came up unexpectedly in her life.""}"
"3588","","survey-likert","6","164186","0.0-6.0-0.0","a91e0zzgzl2hr8spufov","female","battle","","","sympathy","","","{""Q0"":4}"
"1694","","survey-likert","7","165881","0.0-6.0-1.0","a91e0zzgzl2hr8spufov","female","battle","","","urgent","","","{""Q0"":5}"
"3954","","survey-text","8","169836","0.0-7.0","a91e0zzgzl2hr8spufov","female","battle","","","past-donations","","","{""Q0"":""6""}"
"2568","","survey-multi-choice","9","172405","0.0-8.0-0.0","a91e0zzgzl2hr8spufov","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"2439","","survey-multi-choice","10","174845","0.0-8.0-1.0","a91e0zzgzl2hr8spufov","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"5615","","survey-multi-choice","11","180465","0.0-9.0","a91e0zzgzl2hr8spufov","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"2964","","survey-text","12","183429","0.0-10.0","a91e0zzgzl2hr8spufov","female","battle","","","age","","","{""Q0"":""27""}"
"3044","","survey-text","13","186474","0.0-11.0","a91e0zzgzl2hr8spufov","female","battle","","","purpose","","","{""Q0"":""""}"
"1373","","survey-text","14","187848","0.0-12.0","a91e0zzgzl2hr8spufov","female","battle","","","feedback","","","{""Q0"":""""}"
"2701","debrief.html","external-html","15","190689","0.0-13.0","a91e0zzgzl2hr8spufov","female","battle","","","","","",""
