"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"2281","consent.html","external-html","0","2358","0.0-0.0","btz2rov51311v94jp3vk","female","journey","","","","","",""
"1501","","image-button-response","1","3860","0.0-1.0","btz2rov51311v94jp3vk","female","journey","check-1.png","1","check1","","",""
"3008","","image-button-response","2","6869","0.0-2.0","btz2rov51311v94jp3vk","female","journey","check-2.png","2","check2","","",""
"18026","","instructions","3","24895","0.0-3.0","btz2rov51311v94jp3vk","female","journey","","","","[{""page_index"":0,""viewing_time"":4112},{""page_index"":1,""viewing_time"":9905},{""page_index"":2,""viewing_time"":3272},{""page_index"":3,""viewing_time"":737}]","",""
"18097","","html-slider-response","4","42993","0.0-4.0","btz2rov51311v94jp3vk","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","","trial","","25",""
"28442","","survey-text","5","71437","0.0-5.0","btz2rov51311v94jp3vk","female","journey","","","description","","","{""Q0"":""She had thyroid surgery and developed cancer afterwards. Treating it is going to be extremely expensive. ""}"
"3016","","survey-likert","6","74453","0.0-6.0-0.0","btz2rov51311v94jp3vk","female","journey","","","sympathy","","","{""Q0"":6}"
"1902","","survey-likert","7","76357","0.0-6.0-1.0","btz2rov51311v94jp3vk","female","journey","","","urgent","","","{""Q0"":6}"
"4662","","survey-text","8","81021","0.0-7.0","btz2rov51311v94jp3vk","female","journey","","","past-donations","","","{""Q0"":""0""}"
"3431","","survey-multi-choice","9","84454","0.0-8.0-0.0","btz2rov51311v94jp3vk","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2837","","survey-multi-choice","10","87294","0.0-8.0-1.0","btz2rov51311v94jp3vk","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"6436","","survey-multi-choice","11","93735","0.0-9.0","btz2rov51311v94jp3vk","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"2397","","survey-text","12","96135","0.0-10.0","btz2rov51311v94jp3vk","female","journey","","","age","","","{""Q0"":""26""}"
"4479","","survey-text","13","100616","0.0-11.0","btz2rov51311v94jp3vk","female","journey","","","purpose","","","{""Q0"":""I'm not sure.""}"
"2160","","survey-text","14","102776","0.0-12.0","btz2rov51311v94jp3vk","female","journey","","","feedback","","","{""Q0"":""no""}"
"3201","debrief.html","external-html","15","106290","0.0-13.0","btz2rov51311v94jp3vk","female","journey","","","","","",""
