"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"23463","consent.html","external-html","0","23581","0.0-0.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","","","",""
"2305","","image-button-response","1","25889","0.0-1.0","ccs8hjwbe1b9az5bk6cy","male","literal","check-1.png","1","check1","","",""
"3070","","image-button-response","2","28961","0.0-2.0","ccs8hjwbe1b9az5bk6cy","male","literal","check-2.png","2","check2","","",""
"48111","","instructions","3","77072","0.0-3.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","","[{""page_index"":0,""viewing_time"":9879},{""page_index"":1,""viewing_time"":25288},{""page_index"":2,""viewing_time"":11176},{""page_index"":3,""viewing_time"":1767}]","",""
"50294","","html-slider-response","4","127367","0.0-4.0","ccs8hjwbe1b9az5bk6cy","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","35",""
"286227","","survey-text","5","413595","0.0-5.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","description","","","{""Q0"":""Jason's is suffering from 2nd stage lymphoma and is about to begin chemotherapy. The therapy will last several months and it will not only be tough on him physically, but mentally as well. This campaign is to raise money to help him pay his medical bills.""}"
"8294","","survey-likert","6","421892","0.0-6.0-0.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","urgent","","","{""Q0"":4}"
"6075","","survey-likert","7","427971","0.0-6.0-1.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","sympathy","","","{""Q0"":6}"
"5188","","survey-text","8","433162","0.0-7.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","past-donations","","","{""Q0"":""2""}"
"9238","","survey-multi-choice","9","442403","0.0-8.0-0.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"6290","","survey-multi-choice","10","448699","0.0-8.0-1.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"20474","","survey-multi-choice","11","469187","0.0-9.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5036","","survey-text","12","474226","0.0-10.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","age","","","{""Q0"":""70""}"
"84230","","survey-text","13","558457","0.0-11.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","purpose","","","{""Q0"":""How much empathy we feel towards a stranger based upon a particular, difficult situation they are experiencing.""}"
"11014","","survey-text","14","569473","0.0-12.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","feedback","","","{""Q0"":""Nothing at this time.""}"
"43831","debrief.html","external-html","15","614002","0.0-13.0","ccs8hjwbe1b9az5bk6cy","male","literal","","","","","",""
