"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"412294","consent.html","external-html","0","412437","0.0-0.0","dmm0a6w2wfpopeunozpe","female","journey","","","","","",""
"6404","","image-button-response","1","418844","0.0-1.0","dmm0a6w2wfpopeunozpe","female","journey","check-1.png","1","check1","","",""
"8938","","image-button-response","2","427784","0.0-2.0","dmm0a6w2wfpopeunozpe","female","journey","check-2.png","2","check2","","",""
"68878","","instructions","3","496663","0.0-3.0","dmm0a6w2wfpopeunozpe","female","journey","","","","[{""page_index"":0,""viewing_time"":9738},{""page_index"":1,""viewing_time"":43176},{""page_index"":2,""viewing_time"":14143},{""page_index"":3,""viewing_time"":1820}]","",""
"124499","","html-slider-response","4","621164","0.0-4.0","dmm0a6w2wfpopeunozpe","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","","trial","","40",""
"86769","","survey-text","5","707934","0.0-5.0","dmm0a6w2wfpopeunozpe","female","journey","","","description","","","{""Q0"":"" I felt very sad for her..However She will come out of this danger very soon.Am sure She will get the enough fund through this crowdfunding""}"
"18149","","survey-likert","6","726084","0.0-6.0-0.0","dmm0a6w2wfpopeunozpe","female","journey","","","urgent","","","{""Q0"":4}"
"4488","","survey-likert","7","730573","0.0-6.0-1.0","dmm0a6w2wfpopeunozpe","female","journey","","","sympathy","","","{""Q0"":5}"
"8609","","survey-text","8","739183","0.0-7.0","dmm0a6w2wfpopeunozpe","female","journey","","","past-donations","","","{""Q0"":""4""}"
"5718","","survey-multi-choice","9","744903","0.0-8.0-0.0","dmm0a6w2wfpopeunozpe","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"3325","","survey-multi-choice","10","748230","0.0-8.0-1.0","dmm0a6w2wfpopeunozpe","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"17644","","survey-multi-choice","11","765884","0.0-9.0","dmm0a6w2wfpopeunozpe","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"7207","","survey-text","12","773093","0.0-10.0","dmm0a6w2wfpopeunozpe","female","journey","","","age","","","{""Q0"":""38""}"
"5649","","survey-text","13","778743","0.0-11.0","dmm0a6w2wfpopeunozpe","female","journey","","","purpose","","","{""Q0"":""""}"
"2428","","survey-text","14","781173","0.0-12.0","dmm0a6w2wfpopeunozpe","female","journey","","","feedback","","","{""Q0"":""""}"
"7400","debrief.html","external-html","15","788965","0.0-13.0","dmm0a6w2wfpopeunozpe","female","journey","","","","","",""
