"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8208","consent.html","external-html","0","8691","0.0-0.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","","","",""
"110335","","image-button-response","1","119039","0.0-1.0","gbtlxggp6wzq8dvl5h2b","male","battle","check-1.png","0","check1","","",""
"23968","","image-button-response","2","143011","0.0-2.0","gbtlxggp6wzq8dvl5h2b","male","battle","check-2.png","2","check2","","",""
"99741","","instructions","3","242754","0.0-3.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","","[{""page_index"":0,""viewing_time"":16109},{""page_index"":1,""viewing_time"":33054},{""page_index"":2,""viewing_time"":48288},{""page_index"":3,""viewing_time"":2287}]","",""
"315668","","html-slider-response","4","558428","0.0-4.0","gbtlxggp6wzq8dvl5h2b","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","10",""
"53186","","survey-text","5","611619","0.0-5.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","description","","","{""Q0"":""He is a smart young man. A man with a good heart and he is responsible""}"
"9180","","survey-likert","6","620806","0.0-6.0-0.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","urgent","","","{""Q0"":4}"
"4017","","survey-likert","7","624828","0.0-6.0-1.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","sympathy","","","{""Q0"":6}"
"6643","","survey-text","8","631475","0.0-7.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","past-donations","","","{""Q0"":""3""}"
"7079","","survey-multi-choice","9","638563","0.0-8.0-0.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"3465","","survey-multi-choice","10","642035","0.0-8.0-1.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"12212","","survey-multi-choice","11","654277","0.0-9.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"6352","","survey-text","12","660633","0.0-10.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","age","","","{""Q0"":""30""}"
"7902","","survey-text","13","668538","0.0-11.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","purpose","","","{""Q0"":""""}"
"2197","","survey-text","14","670738","0.0-12.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","feedback","","","{""Q0"":""""}"
"16240","debrief.html","external-html","15","689310","0.0-13.0","gbtlxggp6wzq8dvl5h2b","male","battle","","","","","",""
