"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"126293","consent.html","external-html","0","126663","0.0-0.0","hpreofsdjw7j5o3dvfo5","male","literal","","","","","",""
"32204","","image-button-response","1","158881","0.0-1.0","hpreofsdjw7j5o3dvfo5","male","literal","check-1.png","1","check1","","",""
"2273","","image-button-response","2","161158","0.0-2.0","hpreofsdjw7j5o3dvfo5","male","literal","check-2.png","2","check2","","",""
"10288","","instructions","3","171449","0.0-3.0","hpreofsdjw7j5o3dvfo5","male","literal","","","","[{""page_index"":0,""viewing_time"":2763},{""page_index"":1,""viewing_time"":1881},{""page_index"":2,""viewing_time"":3694},{""page_index"":3,""viewing_time"":1946}]","",""
"11121","","html-slider-response","4","182576","0.0-4.0","hpreofsdjw7j5o3dvfo5","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","26",""
"127249","","survey-text","5","309833","0.0-5.0","hpreofsdjw7j5o3dvfo5","male","literal","","","description","","","{""Q0"":""situation is good ""}"
"12813","","survey-likert","6","322651","0.0-6.0-0.0","hpreofsdjw7j5o3dvfo5","male","literal","","","sympathy","","","{""Q0"":5}"
"47561","","survey-likert","7","370216","0.0-6.0-1.0","hpreofsdjw7j5o3dvfo5","male","literal","","","urgent","","","{""Q0"":4}"
"91299","","survey-text","8","461520","0.0-7.0","hpreofsdjw7j5o3dvfo5","male","literal","","","past-donations","","","{""Q0"":""5""}"
"27542","","survey-multi-choice","9","489069","0.0-8.0-0.0","hpreofsdjw7j5o3dvfo5","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"12885","","survey-multi-choice","10","501959","0.0-8.0-1.0","hpreofsdjw7j5o3dvfo5","male","literal","","","ff-cancer","","","{""Q0"":""No""}"
"34573","","survey-multi-choice","11","536553","0.0-9.0","hpreofsdjw7j5o3dvfo5","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"24498","","survey-text","12","561055","0.0-10.0","hpreofsdjw7j5o3dvfo5","male","literal","","","age","","","{""Q0"":""1990""}"
"104973","","survey-text","13","666031","0.0-11.0","hpreofsdjw7j5o3dvfo5","male","literal","","","purpose","","","{""Q0"":""nothing""}"
"93862","","survey-text","14","759897","0.0-12.0","hpreofsdjw7j5o3dvfo5","male","literal","","","feedback","","","{""Q0"":""nothing""}"
"19613","debrief.html","external-html","15","779964","0.0-13.0","hpreofsdjw7j5o3dvfo5","male","literal","","","","","",""
