"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6356","consent.html","external-html","0","6457","0.0-0.0","ht2dxk6dpt1pcoupst9w","female","battle","","","","","",""
"2494","","image-button-response","1","8953","0.0-1.0","ht2dxk6dpt1pcoupst9w","female","battle","check-1.png","1","check1","","",""
"3735","","image-button-response","2","12691","0.0-2.0","ht2dxk6dpt1pcoupst9w","female","battle","check-2.png","2","check2","","",""
"12023","","instructions","3","24715","0.0-3.0","ht2dxk6dpt1pcoupst9w","female","battle","","","","[{""page_index"":0,""viewing_time"":5439},{""page_index"":1,""viewing_time"":3270},{""page_index"":2,""viewing_time"":1757},{""page_index"":3,""viewing_time"":1557}]","",""
"8109","","html-slider-response","4","32828","0.0-4.0","ht2dxk6dpt1pcoupst9w","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","0",""
"34394","","survey-text","5","67224","0.0-5.0","ht2dxk6dpt1pcoupst9w","female","battle","","","description","","","{""Q0"":""She's scared and is looking fo help. With her condition, she needs money.""}"
"14391","","survey-likert","6","81617","0.0-6.0-0.0","ht2dxk6dpt1pcoupst9w","female","battle","","","sympathy","","","{""Q0"":0}"
"6339","","survey-likert","7","87962","0.0-6.0-1.0","ht2dxk6dpt1pcoupst9w","female","battle","","","urgent","","","{""Q0"":3}"
"3994","","survey-text","8","91963","0.0-7.0","ht2dxk6dpt1pcoupst9w","female","battle","","","past-donations","","","{""Q0"":""0""}"
"3617","","survey-multi-choice","9","95583","0.0-8.0-0.0","ht2dxk6dpt1pcoupst9w","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"4936","","survey-multi-choice","10","100527","0.0-8.0-1.0","ht2dxk6dpt1pcoupst9w","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"14752","","survey-multi-choice","11","115289","0.0-9.0","ht2dxk6dpt1pcoupst9w","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"3706","","survey-text","12","119003","0.0-10.0","ht2dxk6dpt1pcoupst9w","female","battle","","","age","","","{""Q0"":""30""}"
"10226","","survey-text","13","129229","0.0-11.0","ht2dxk6dpt1pcoupst9w","female","battle","","","purpose","","","{""Q0"":""""}"
"1509","","survey-text","14","130741","0.0-12.0","ht2dxk6dpt1pcoupst9w","female","battle","","","feedback","","","{""Q0"":""""}"
"5261","debrief.html","external-html","15","136391","0.0-13.0","ht2dxk6dpt1pcoupst9w","female","battle","","","","","",""
