"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"4730","consent.html","external-html","0","4789","0.0-0.0","jelpxovma8a5md5f3lnk","male","journey","","","","","",""
"2248","","image-button-response","1","7042","0.0-1.0","jelpxovma8a5md5f3lnk","male","journey","check-1.png","1","check1","","",""
"1946","","image-button-response","2","8989","0.0-2.0","jelpxovma8a5md5f3lnk","male","journey","check-2.png","2","check2","","",""
"8838","","instructions","3","17828","0.0-3.0","jelpxovma8a5md5f3lnk","male","journey","","","","[{""page_index"":0,""viewing_time"":1401},{""page_index"":1,""viewing_time"":2756},{""page_index"":2,""viewing_time"":3462},{""page_index"":3,""viewing_time"":1218}]","",""
"18774","","html-slider-response","4","36604","0.0-4.0","jelpxovma8a5md5f3lnk","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","40",""
"23809","","survey-text","5","60415","0.0-5.0","jelpxovma8a5md5f3lnk","male","journey","","","description","","","{""Q0"":""he is need of help. The best way to do that right now is with money""}"
"4637","","survey-likert","6","65053","0.0-6.0-0.0","jelpxovma8a5md5f3lnk","male","journey","","","sympathy","","","{""Q0"":4}"
"3143","","survey-likert","7","68201","0.0-6.0-1.0","jelpxovma8a5md5f3lnk","male","journey","","","urgent","","","{""Q0"":4}"
"3813","","survey-text","8","72019","0.0-7.0","jelpxovma8a5md5f3lnk","male","journey","","","past-donations","","","{""Q0"":""0""}"
"2051","","survey-multi-choice","9","74073","0.0-8.0-0.0","jelpxovma8a5md5f3lnk","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"3618","","survey-multi-choice","10","77697","0.0-8.0-1.0","jelpxovma8a5md5f3lnk","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"9683","","survey-multi-choice","11","87392","0.0-9.0","jelpxovma8a5md5f3lnk","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3732","","survey-text","12","91131","0.0-10.0","jelpxovma8a5md5f3lnk","male","journey","","","age","","","{""Q0"":""39""}"
"1987","","survey-text","13","93118","0.0-11.0","jelpxovma8a5md5f3lnk","male","journey","","","purpose","","","{""Q0"":""""}"
"2033","","survey-text","14","95153","0.0-12.0","jelpxovma8a5md5f3lnk","male","journey","","","feedback","","","{""Q0"":""""}"
"8892","debrief.html","external-html","15","104236","0.0-13.0","jelpxovma8a5md5f3lnk","male","journey","","","","","",""
