"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"21793","consent.html","external-html","0","21860","0.0-0.0","kss1wv84lt049tzxu321","female","journey","","","","","",""
"3743","","image-button-response","1","25606","0.0-1.0","kss1wv84lt049tzxu321","female","journey","check-1.png","1","check1","","",""
"4215","","image-button-response","2","29823","0.0-2.0","kss1wv84lt049tzxu321","female","journey","check-2.png","2","check2","","",""
"35416","","instructions","3","65240","0.0-3.0","kss1wv84lt049tzxu321","female","journey","","","","[{""page_index"":0,""viewing_time"":6512},{""page_index"":1,""viewing_time"":18327},{""page_index"":2,""viewing_time"":8866},{""page_index"":3,""viewing_time"":1709}]","",""
"52223","","html-slider-response","4","117466","0.0-4.0","kss1wv84lt049tzxu321","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","19",""
"39181","","survey-text","5","156650","0.0-5.0","kss1wv84lt049tzxu321","female","journey","","","description","","","{""Q0"":""She is suffering from Lymphoma and will have to go through multiple rounds of treatment. The doctor said this will be a long and painful process. ""}"
"8886","","survey-likert","6","165539","0.0-6.0-0.0","kss1wv84lt049tzxu321","female","journey","","","sympathy","","","{""Q0"":5}"
"6471","","survey-likert","7","172030","0.0-6.0-1.0","kss1wv84lt049tzxu321","female","journey","","","urgent","","","{""Q0"":2}"
"5694","","survey-text","8","177745","0.0-7.0","kss1wv84lt049tzxu321","female","journey","","","past-donations","","","{""Q0"":""2""}"
"4170","","survey-multi-choice","9","181919","0.0-8.0-0.0","kss1wv84lt049tzxu321","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2341","","survey-multi-choice","10","184282","0.0-8.0-1.0","kss1wv84lt049tzxu321","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"14096","","survey-multi-choice","11","198401","0.0-9.0","kss1wv84lt049tzxu321","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4343","","survey-text","12","202765","0.0-10.0","kss1wv84lt049tzxu321","female","journey","","","age","","","{""Q0"":""26""}"
"29034","","survey-text","13","231801","0.0-11.0","kss1wv84lt049tzxu321","female","journey","","","purpose","","","{""Q0"":""To see if our past experience with cancer will make us more willing to donate money. ""}"
"9971","","survey-text","14","241773","0.0-12.0","kss1wv84lt049tzxu321","female","journey","","","feedback","","","{""Q0"":""None. ""}"
"21402","debrief.html","external-html","15","263374","0.0-13.0","kss1wv84lt049tzxu321","female","journey","","","","","",""
