"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11418","consent.html","external-html","0","11480","0.0-0.0","l8zpqnl8glu2wawmhbey","male","battle","","","","","",""
"2427","","image-button-response","1","13910","0.0-1.0","l8zpqnl8glu2wawmhbey","male","battle","check-1.png","1","check1","","",""
"2994","","image-button-response","2","16905","0.0-2.0","l8zpqnl8glu2wawmhbey","male","battle","check-2.png","2","check2","","",""
"20665","","instructions","3","37571","0.0-3.0","l8zpqnl8glu2wawmhbey","male","battle","","","","[{""page_index"":0,""viewing_time"":4766},{""page_index"":1,""viewing_time"":9900},{""page_index"":2,""viewing_time"":4867},{""page_index"":3,""viewing_time"":1131}]","",""
"29295","","html-slider-response","4","66868","0.0-4.0","l8zpqnl8glu2wawmhbey","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","4",""
"24227","","survey-text","5","91097","0.0-5.0","l8zpqnl8glu2wawmhbey","male","battle","","","description","","","{""Q0"":""Jason has cancer but is receiving treatment. He has many battles ahead but is fighting hard.""}"
"4671","","survey-likert","6","95771","0.0-6.0-0.0","l8zpqnl8glu2wawmhbey","male","battle","","","sympathy","","","{""Q0"":5}"
"2965","","survey-likert","7","98737","0.0-6.0-1.0","l8zpqnl8glu2wawmhbey","male","battle","","","urgent","","","{""Q0"":3}"
"3116","","survey-text","8","101854","0.0-7.0","l8zpqnl8glu2wawmhbey","male","battle","","","past-donations","","","{""Q0"":""2""}"
"2676","","survey-multi-choice","9","104533","0.0-8.0-0.0","l8zpqnl8glu2wawmhbey","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"2410","","survey-multi-choice","10","106946","0.0-8.0-1.0","l8zpqnl8glu2wawmhbey","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"10377","","survey-multi-choice","11","117331","0.0-9.0","l8zpqnl8glu2wawmhbey","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"2847","","survey-text","12","120181","0.0-10.0","l8zpqnl8glu2wawmhbey","male","battle","","","age","","","{""Q0"":""44""}"
"2310","","survey-text","13","122492","0.0-11.0","l8zpqnl8glu2wawmhbey","male","battle","","","purpose","","","{""Q0"":""""}"
"978","","survey-text","14","123471","0.0-12.0","l8zpqnl8glu2wawmhbey","male","battle","","","feedback","","","{""Q0"":""""}"
"3314","debrief.html","external-html","15","126914","0.0-13.0","l8zpqnl8glu2wawmhbey","male","battle","","","","","",""
