"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"18188","consent.html","external-html","0","18349","0.0-0.0","m1trr2jo03610eey0b1o","female","literal","","","","","",""
"3610","","image-button-response","1","21964","0.0-1.0","m1trr2jo03610eey0b1o","female","literal","check-1.png","1","check1","","",""
"3772","","image-button-response","2","25738","0.0-2.0","m1trr2jo03610eey0b1o","female","literal","check-2.png","2","check2","","",""
"38258","","instructions","3","63998","0.0-3.0","m1trr2jo03610eey0b1o","female","literal","","","","[{""page_index"":0,""viewing_time"":8152},{""page_index"":1,""viewing_time"":18283},{""page_index"":2,""viewing_time"":10064},{""page_index"":3,""viewing_time"":1758}]","",""
"28002","","html-slider-response","4","92003","0.0-4.0","m1trr2jo03610eey0b1o","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","50",""
"29503","","survey-text","5","121508","0.0-5.0","m1trr2jo03610eey0b1o","female","literal","","","description","","","{""Q0"":""This girl has terrible cancer, and needs help.  Please try to give her as much money as you possibly can give.""}"
"8700","","survey-likert","6","130211","0.0-6.0-0.0","m1trr2jo03610eey0b1o","female","literal","","","sympathy","","","{""Q0"":6}"
"2896","","survey-likert","7","133110","0.0-6.0-1.0","m1trr2jo03610eey0b1o","female","literal","","","urgent","","","{""Q0"":6}"
"14075","","survey-text","8","147188","0.0-7.0","m1trr2jo03610eey0b1o","female","literal","","","past-donations","","","{""Q0"":""52""}"
"2856","","survey-multi-choice","9","150051","0.0-8.0-0.0","m1trr2jo03610eey0b1o","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"4958","","survey-multi-choice","10","155013","0.0-8.0-1.0","m1trr2jo03610eey0b1o","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"12625","","survey-multi-choice","11","167651","0.0-9.0","m1trr2jo03610eey0b1o","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"3348","","survey-text","12","171001","0.0-10.0","m1trr2jo03610eey0b1o","female","literal","","","age","","","{""Q0"":""34""}"
"27388","","survey-text","13","198391","0.0-11.0","m1trr2jo03610eey0b1o","female","literal","","","purpose","","","{""Q0"":""Peoples aptitude for giving based on certain scenarios/criteria.""}"
"6724","","survey-text","14","205116","0.0-12.0","m1trr2jo03610eey0b1o","female","literal","","","feedback","","","{""Q0"":""I liked it.""}"
"12031","debrief.html","external-html","15","217561","0.0-13.0","m1trr2jo03610eey0b1o","female","literal","","","","","",""
