"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"36404","consent.html","external-html","0","36979","0.0-0.0","m7m3rlw05gclbt9uzneq","male","battle","","","","","",""
"6892","","image-button-response","1","43873","0.0-1.0","m7m3rlw05gclbt9uzneq","male","battle","check-1.png","1","check1","","",""
"4346","","image-button-response","2","48222","0.0-2.0","m7m3rlw05gclbt9uzneq","male","battle","check-2.png","1","check2","","",""
"9223","","instructions","3","57448","0.0-3.0","m7m3rlw05gclbt9uzneq","male","battle","","","","[{""page_index"":0,""viewing_time"":2390},{""page_index"":1,""viewing_time"":2028},{""page_index"":2,""viewing_time"":3034},{""page_index"":3,""viewing_time"":1771}]","",""
"78101","","html-slider-response","4","135549","0.0-4.0","m7m3rlw05gclbt9uzneq","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","39",""
"61841","","survey-text","5","197398","0.0-5.0","m7m3rlw05gclbt9uzneq","male","battle","","","description","","","{""Q0"":""good""}"
"27952","","survey-likert","6","225353","0.0-6.0-0.0","m7m3rlw05gclbt9uzneq","male","battle","","","urgent","","","{""Q0"":5}"
"15888","","survey-likert","7","241244","0.0-6.0-1.0","m7m3rlw05gclbt9uzneq","male","battle","","","sympathy","","","{""Q0"":6}"
"6913","","survey-text","8","248161","0.0-7.0","m7m3rlw05gclbt9uzneq","male","battle","","","past-donations","","","{""Q0"":""1""}"
"13048","","survey-multi-choice","9","261213","0.0-8.0-0.0","m7m3rlw05gclbt9uzneq","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"7341","","survey-multi-choice","10","268558","0.0-8.0-1.0","m7m3rlw05gclbt9uzneq","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"20629","","survey-multi-choice","11","289196","0.0-9.0","m7m3rlw05gclbt9uzneq","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"10610","","survey-text","12","299815","0.0-10.0","m7m3rlw05gclbt9uzneq","male","battle","","","age","","","{""Q0"":""1""}"
"8306","","survey-text","13","308122","0.0-11.0","m7m3rlw05gclbt9uzneq","male","battle","","","purpose","","","{""Q0"":""good""}"
"5996","","survey-text","14","314118","0.0-12.0","m7m3rlw05gclbt9uzneq","male","battle","","","feedback","","","{""Q0"":""good""}"
"15666","debrief.html","external-html","15","332939","0.0-13.0","m7m3rlw05gclbt9uzneq","male","battle","","","","","",""
