"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"68069","consent.html","external-html","0","68373","0.0-0.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","","","",""
"4584","","image-button-response","1","72967","0.0-1.0","mn3h7lb7am9qcpo5xt5u","female","journey","check-1.png","1","check1","","",""
"5163","","image-button-response","2","78134","0.0-2.0","mn3h7lb7am9qcpo5xt5u","female","journey","check-2.png","2","check2","","",""
"66133","","instructions","3","144271","0.0-3.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","","[{""page_index"":0,""viewing_time"":10652},{""page_index"":1,""viewing_time"":29201},{""page_index"":2,""viewing_time"":21416},{""page_index"":3,""viewing_time"":4860}]","",""
"138620","","html-slider-response","4","282899","0.0-4.0","mn3h7lb7am9qcpo5xt5u","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","40",""
"68561","","survey-text","5","351466","0.0-5.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","description","","","{""Q0"":""Jennifer is going through a very rough challenge. She was diagnosed with Stage II Lymphoma after her thyroid surgery.""}"
"10729","","survey-likert","6","362205","0.0-6.0-0.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","urgent","","","{""Q0"":6}"
"12124","","survey-likert","7","374398","0.0-6.0-1.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","sympathy","","","{""Q0"":6}"
"9960","","survey-text","8","384437","0.0-7.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","past-donations","","","{""Q0"":""3""}"
"4531","","survey-multi-choice","9","388981","0.0-8.0-0.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","self-cancer","","","{""Q0"":""Yes""}"
"5453","","survey-multi-choice","10","394498","0.0-8.0-1.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"23421","","survey-multi-choice","11","417982","0.0-9.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5038","","survey-text","12","423079","0.0-10.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","age","","","{""Q0"":""67""}"
"67888","","survey-text","13","490972","0.0-11.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","purpose","","","{""Q0"":""Comprehension about other people's plights. Are we compassionate and would we extend help to someone we are not even close to perhaps?""}"
"10386","","survey-text","14","501363","0.0-12.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","feedback","","","{""Q0"":""No""}"
"47273","debrief.html","external-html","15","549084","0.0-13.0","mn3h7lb7am9qcpo5xt5u","female","journey","","","","","",""
