"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"17338","consent.html","external-html","0","17349","0.0-0.0","pb7jw9g4aomky324q51z","male","literal","","","","","",""
"5207","","image-button-response","1","22560","0.0-1.0","pb7jw9g4aomky324q51z","male","literal","check-1.png","1","check1","","",""
"4671","","image-button-response","2","27233","0.0-2.0","pb7jw9g4aomky324q51z","male","literal","check-2.png","2","check2","","",""
"29972","","instructions","3","57206","0.0-3.0","pb7jw9g4aomky324q51z","male","literal","","","","[{""page_index"":0,""viewing_time"":10756},{""page_index"":1,""viewing_time"":10124},{""page_index"":2,""viewing_time"":6655},{""page_index"":3,""viewing_time"":2437}]","",""
"46640","","html-slider-response","4","103850","0.0-4.0","pb7jw9g4aomky324q51z","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","25",""
"43646","","survey-text","5","147499","0.0-5.0","pb7jw9g4aomky324q51z","male","literal","","","description","","","{""Q0"":""Jason's situation is life threatening. Without the help and support from others he won't be able to afford the treatment he requires to survive.""}"
"10143","","survey-likert","6","157643","0.0-6.0-0.0","pb7jw9g4aomky324q51z","male","literal","","","urgent","","","{""Q0"":6}"
"4347","","survey-likert","7","161993","0.0-6.0-1.0","pb7jw9g4aomky324q51z","male","literal","","","sympathy","","","{""Q0"":6}"
"4779","","survey-text","8","166774","0.0-7.0","pb7jw9g4aomky324q51z","male","literal","","","past-donations","","","{""Q0"":""2""}"
"3825","","survey-multi-choice","9","170603","0.0-8.0-0.0","pb7jw9g4aomky324q51z","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"5143","","survey-multi-choice","10","175748","0.0-8.0-1.0","pb7jw9g4aomky324q51z","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"14382","","survey-multi-choice","11","190141","0.0-9.0","pb7jw9g4aomky324q51z","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3991","","survey-text","12","194134","0.0-10.0","pb7jw9g4aomky324q51z","male","literal","","","age","","","{""Q0"":""54""}"
"23950","","survey-text","13","218085","0.0-11.0","pb7jw9g4aomky324q51z","male","literal","","","purpose","","","{""Q0"":""Empathy ""}"
"1929","","survey-text","14","220015","0.0-12.0","pb7jw9g4aomky324q51z","male","literal","","","feedback","","","{""Q0"":""""}"
"5961","debrief.html","external-html","15","225980","0.0-13.0","pb7jw9g4aomky324q51z","male","literal","","","","","",""
