"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"26265","consent.html","external-html","0","26679","0.0-0.0","rb9v57xam6me51vz6qbr","male","journey","","","","","",""
"14480","","image-button-response","1","41170","0.0-1.0","rb9v57xam6me51vz6qbr","male","journey","check-1.png","1","check1","","",""
"7433","","image-button-response","2","48606","0.0-2.0","rb9v57xam6me51vz6qbr","male","journey","check-2.png","2","check2","","",""
"98120","","instructions","3","146727","0.0-3.0","rb9v57xam6me51vz6qbr","male","journey","","","","[{""page_index"":0,""viewing_time"":17759},{""page_index"":1,""viewing_time"":44847},{""page_index"":2,""viewing_time"":31889},{""page_index"":3,""viewing_time"":3623}]","",""
"190987","","html-slider-response","4","337719","0.0-4.0","rb9v57xam6me51vz6qbr","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","30",""
"59677","","survey-text","5","397399","0.0-5.0","rb9v57xam6me51vz6qbr","male","journey","","","description","","","{""Q0"":""I will pray for he has speedy recovery""}"
"43596","","survey-likert","6","440999","0.0-6.0-0.0","rb9v57xam6me51vz6qbr","male","journey","","","sympathy","","","{""Q0"":6}"
"7939","","survey-likert","7","448942","0.0-6.0-1.0","rb9v57xam6me51vz6qbr","male","journey","","","urgent","","","{""Q0"":6}"
"8268","","survey-text","8","457214","0.0-7.0","rb9v57xam6me51vz6qbr","male","journey","","","past-donations","","","{""Q0"":""2""}"
"5457","","survey-multi-choice","9","462687","0.0-8.0-0.0","rb9v57xam6me51vz6qbr","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"16866","","survey-multi-choice","10","479558","0.0-8.0-1.0","rb9v57xam6me51vz6qbr","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"31645","","survey-multi-choice","11","511225","0.0-9.0","rb9v57xam6me51vz6qbr","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"11427","","survey-text","12","522656","0.0-10.0","rb9v57xam6me51vz6qbr","male","journey","","","age","","","{""Q0"":""61""}"
"34334","","survey-text","13","556991","0.0-11.0","rb9v57xam6me51vz6qbr","male","journey","","","purpose","","","{""Q0"":""Willingness for donation""}"
"7100","","survey-text","14","564094","0.0-12.0","rb9v57xam6me51vz6qbr","male","journey","","","feedback","","","{""Q0"":""Nothing""}"
"19778","debrief.html","external-html","15","587481","0.0-13.0","rb9v57xam6me51vz6qbr","male","journey","","","","","",""
