"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8960","consent.html","external-html","0","9055","0.0-0.0","rldc20a0k2n34x7snuu1","male","battle","","","","","",""
"2674","","image-button-response","1","11733","0.0-1.0","rldc20a0k2n34x7snuu1","male","battle","check-1.png","1","check1","","",""
"2793","","image-button-response","2","14529","0.0-2.0","rldc20a0k2n34x7snuu1","male","battle","check-2.png","2","check2","","",""
"21118","","instructions","3","35647","0.0-3.0","rldc20a0k2n34x7snuu1","male","battle","","","","[{""page_index"":0,""viewing_time"":6224},{""page_index"":1,""viewing_time"":9251},{""page_index"":2,""viewing_time"":4331},{""page_index"":3,""viewing_time"":1311}]","",""
"33176","","html-slider-response","4","68824","0.0-4.0","rldc20a0k2n34x7snuu1","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","50",""
"29930","","survey-text","5","98756","0.0-5.0","rldc20a0k2n34x7snuu1","male","battle","","","description","","","{""Q0"":""Jason has lymphoma and he's going to need all the help he can get to try to get through. ""}"
"4526","","survey-likert","6","103284","0.0-6.0-0.0","rldc20a0k2n34x7snuu1","male","battle","","","sympathy","","","{""Q0"":5}"
"2532","","survey-likert","7","105817","0.0-6.0-1.0","rldc20a0k2n34x7snuu1","male","battle","","","urgent","","","{""Q0"":6}"
"3320","","survey-text","8","109138","0.0-7.0","rldc20a0k2n34x7snuu1","male","battle","","","past-donations","","","{""Q0"":""5""}"
"2157","","survey-multi-choice","9","111299","0.0-8.0-0.0","rldc20a0k2n34x7snuu1","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"3103","","survey-multi-choice","10","114404","0.0-8.0-1.0","rldc20a0k2n34x7snuu1","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"8315","","survey-multi-choice","11","122728","0.0-9.0","rldc20a0k2n34x7snuu1","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"2591","","survey-text","12","125321","0.0-10.0","rldc20a0k2n34x7snuu1","male","battle","","","age","","","{""Q0"":""34""}"
"5335","","survey-text","13","130657","0.0-11.0","rldc20a0k2n34x7snuu1","male","battle","","","purpose","","","{""Q0"":""""}"
"1755","","survey-text","14","132413","0.0-12.0","rldc20a0k2n34x7snuu1","male","battle","","","feedback","","","{""Q0"":""""}"
"5644","debrief.html","external-html","15","138346","0.0-13.0","rldc20a0k2n34x7snuu1","male","battle","","","","","",""
