"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7317","consent.html","external-html","0","8025","0.0-0.0","s7s4cd5htftq4dkfhylg","female","literal","","","","","",""
"7732","","image-button-response","1","15762","0.0-1.0","s7s4cd5htftq4dkfhylg","female","literal","check-1.png","1","check1","","",""
"10881","","image-button-response","2","26647","0.0-2.0","s7s4cd5htftq4dkfhylg","female","literal","check-2.png","2","check2","","",""
"17091","","instructions","3","43740","0.0-3.0","s7s4cd5htftq4dkfhylg","female","literal","","","","[{""page_index"":0,""viewing_time"":11498},{""page_index"":1,""viewing_time"":2070},{""page_index"":2,""viewing_time"":1870},{""page_index"":3,""viewing_time"":1652}]","",""
"12704","","html-slider-response","4","56449","0.0-4.0","s7s4cd5htftq4dkfhylg","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","35",""
"32126","","survey-text","5","88580","0.0-5.0","s7s4cd5htftq4dkfhylg","female","literal","","","description","","","{""Q0"":""It's feeling very critical situation.""}"
"5053","","survey-likert","6","93638","0.0-6.0-0.0","s7s4cd5htftq4dkfhylg","female","literal","","","urgent","","","{""Q0"":4}"
"3305","","survey-likert","7","96946","0.0-6.0-1.0","s7s4cd5htftq4dkfhylg","female","literal","","","sympathy","","","{""Q0"":3}"
"7956","","survey-text","8","104906","0.0-7.0","s7s4cd5htftq4dkfhylg","female","literal","","","past-donations","","","{""Q0"":""5""}"
"4008","","survey-multi-choice","9","108921","0.0-8.0-0.0","s7s4cd5htftq4dkfhylg","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"4167","","survey-multi-choice","10","113092","0.0-8.0-1.0","s7s4cd5htftq4dkfhylg","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"10395","","survey-multi-choice","11","123501","0.0-9.0","s7s4cd5htftq4dkfhylg","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"13946","","survey-text","12","137450","0.0-10.0","s7s4cd5htftq4dkfhylg","female","literal","","","age","","","{""Q0"":""1990""}"
"3186","","survey-text","13","140639","0.0-11.0","s7s4cd5htftq4dkfhylg","female","literal","","","purpose","","","{""Q0"":""""}"
"2023","","survey-text","14","142665","0.0-12.0","s7s4cd5htftq4dkfhylg","female","literal","","","feedback","","","{""Q0"":""""}"
"12659","debrief.html","external-html","15","155863","0.0-13.0","s7s4cd5htftq4dkfhylg","female","literal","","","","","",""
