"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"14767","consent.html","external-html","0","14981","0.0-0.0","s995eth29ozkj34csaqw","female","battle","","","","","",""
"3446","","image-button-response","1","18428","0.0-1.0","s995eth29ozkj34csaqw","female","battle","check-1.png","1","check1","","",""
"4051","","image-button-response","2","22480","0.0-2.0","s995eth29ozkj34csaqw","female","battle","check-2.png","2","check2","","",""
"45854","","instructions","3","68335","0.0-3.0","s995eth29ozkj34csaqw","female","battle","","","","[{""page_index"":0,""viewing_time"":10089},{""page_index"":1,""viewing_time"":26402},{""page_index"":2,""viewing_time"":8061},{""page_index"":3,""viewing_time"":1301}]","",""
"43616","","html-slider-response","4","111952","0.0-4.0","s995eth29ozkj34csaqw","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","50",""
"26054","","survey-text","5","138007","0.0-5.0","s995eth29ozkj34csaqw","female","battle","","","description","","","{""Q0"":""Jennifer has State II Lymphoma.  She needs money to pay for treatment.""}"
"6324","","survey-likert","6","144333","0.0-6.0-0.0","s995eth29ozkj34csaqw","female","battle","","","sympathy","","","{""Q0"":5}"
"2961","","survey-likert","7","147296","0.0-6.0-1.0","s995eth29ozkj34csaqw","female","battle","","","urgent","","","{""Q0"":6}"
"4669","","survey-text","8","151968","0.0-7.0","s995eth29ozkj34csaqw","female","battle","","","past-donations","","","{""Q0"":""12""}"
"2480","","survey-multi-choice","9","154450","0.0-8.0-0.0","s995eth29ozkj34csaqw","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"2674","","survey-multi-choice","10","157128","0.0-8.0-1.0","s995eth29ozkj34csaqw","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"11567","","survey-multi-choice","11","168701","0.0-9.0","s995eth29ozkj34csaqw","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3275","","survey-text","12","171978","0.0-10.0","s995eth29ozkj34csaqw","female","battle","","","age","","","{""Q0"":""31""}"
"27514","","survey-text","13","199493","0.0-11.0","s995eth29ozkj34csaqw","female","battle","","","purpose","","","{""Q0"":""The impact of guilt on use of finances.""}"
"2898","","survey-text","14","202391","0.0-12.0","s995eth29ozkj34csaqw","female","battle","","","feedback","","","{""Q0"":""No""}"
"5914","debrief.html","external-html","15","208611","0.0-13.0","s995eth29ozkj34csaqw","female","battle","","","","","",""
