"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"23473","consent.html","external-html","0","23599","0.0-0.0","tmae4at97tzfqp3r5ywn","male","battle","","","","","",""
"1883","","image-button-response","1","25487","0.0-1.0","tmae4at97tzfqp3r5ywn","male","battle","check-1.png","1","check1","","",""
"2941","","image-button-response","2","28431","0.0-2.0","tmae4at97tzfqp3r5ywn","male","battle","check-2.png","2","check2","","",""
"24570","","instructions","3","53002","0.0-3.0","tmae4at97tzfqp3r5ywn","male","battle","","","","[{""page_index"":0,""viewing_time"":6472},{""page_index"":1,""viewing_time"":11797},{""page_index"":2,""viewing_time"":4850},{""page_index"":3,""viewing_time"":1449}]","",""
"44155","","html-slider-response","4","97160","0.0-4.0","tmae4at97tzfqp3r5ywn","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","40",""
"75528","","survey-text","5","172691","0.0-5.0","tmae4at97tzfqp3r5ywn","male","battle","","","description","","","{""Q0"":""Jason is suffering from stage 2 lymphoma. He's going to be doing chemotherapy every 3 weeks, as well as possibly local radiation.His friend is trying to raise money for his medical expenses.""}"
"8772","","survey-likert","6","181467","0.0-6.0-0.0","tmae4at97tzfqp3r5ywn","male","battle","","","sympathy","","","{""Q0"":6}"
"4727","","survey-likert","7","186198","0.0-6.0-1.0","tmae4at97tzfqp3r5ywn","male","battle","","","urgent","","","{""Q0"":6}"
"3956","","survey-text","8","190157","0.0-7.0","tmae4at97tzfqp3r5ywn","male","battle","","","past-donations","","","{""Q0"":""4""}"
"3603","","survey-multi-choice","9","193767","0.0-8.0-0.0","tmae4at97tzfqp3r5ywn","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"3802","","survey-multi-choice","10","197574","0.0-8.0-1.0","tmae4at97tzfqp3r5ywn","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"18899","","survey-multi-choice","11","216486","0.0-9.0","tmae4at97tzfqp3r5ywn","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"6281","","survey-text","12","222770","0.0-10.0","tmae4at97tzfqp3r5ywn","male","battle","","","age","","","{""Q0"":""21""}"
"30376","","survey-text","13","253150","0.0-11.0","tmae4at97tzfqp3r5ywn","male","battle","","","purpose","","","{""Q0"":""How greedy people are with money in certain scenarios""}"
"4682","","survey-text","14","257834","0.0-12.0","tmae4at97tzfqp3r5ywn","male","battle","","","feedback","","","{""Q0"":""""}"
"32255","debrief.html","external-html","15","290554","0.0-13.0","tmae4at97tzfqp3r5ywn","male","battle","","","","","",""
