"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"22910","consent.html","external-html","0","23137","0.0-0.0","tnzphped22acleft48qk","female","battle","","","","","",""
"8189","","image-button-response","1","31333","0.0-1.0","tnzphped22acleft48qk","female","battle","check-1.png","2","check1","","",""
"22178","","image-button-response","2","53514","0.0-2.0","tnzphped22acleft48qk","female","battle","check-2.png","2","check2","","",""
"34722","","instructions","3","88238","0.0-3.0","tnzphped22acleft48qk","female","battle","","","","[{""page_index"":0,""viewing_time"":7919},{""page_index"":1,""viewing_time"":18033},{""page_index"":2,""viewing_time"":6920},{""page_index"":3,""viewing_time"":1849}]","",""
"9163","","html-slider-response","4","97405","0.0-4.0","tnzphped22acleft48qk","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","15",""
"133126","","survey-text","5","230534","0.0-5.0","tnzphped22acleft48qk","female","battle","","","description","","","{""Q0"":""some critical suituation my friend jenny so i need so many money collection please donate.\n\n""}"
"4006","","survey-likert","6","234543","0.0-6.0-0.0","tnzphped22acleft48qk","female","battle","","","urgent","","","{""Q0"":5}"
"6036","","survey-likert","7","240582","0.0-6.0-1.0","tnzphped22acleft48qk","female","battle","","","sympathy","","","{""Q0"":5}"
"5356","","survey-text","8","245940","0.0-7.0","tnzphped22acleft48qk","female","battle","","","past-donations","","","{""Q0"":""5""}"
"6518","","survey-multi-choice","9","252462","0.0-8.0-0.0","tnzphped22acleft48qk","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"3268","","survey-multi-choice","10","255733","0.0-8.0-1.0","tnzphped22acleft48qk","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"11882","","survey-multi-choice","11","267623","0.0-9.0","tnzphped22acleft48qk","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"22545","","survey-text","12","290170","0.0-10.0","tnzphped22acleft48qk","female","battle","","","age","","","{""Q0"":""34""}"
"8294","","survey-text","13","298467","0.0-11.0","tnzphped22acleft48qk","female","battle","","","purpose","","","{""Q0"":""nothing""}"
"4894","","survey-text","14","303363","0.0-12.0","tnzphped22acleft48qk","female","battle","","","feedback","","","{""Q0"":""no""}"
"7990","debrief.html","external-html","15","311664","0.0-13.0","tnzphped22acleft48qk","female","battle","","","","","",""
