"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"45512","consent.html","external-html","0","45664","0.0-0.0","tuhtbbuvr85g48ul5bbb","male","journey","","","","","",""
"2981","","image-button-response","1","48650","0.0-1.0","tuhtbbuvr85g48ul5bbb","male","journey","check-1.png","1","check1","","",""
"5680","","image-button-response","2","54332","0.0-2.0","tuhtbbuvr85g48ul5bbb","male","journey","check-2.png","2","check2","","",""
"40463","","instructions","3","94796","0.0-3.0","tuhtbbuvr85g48ul5bbb","male","journey","","","","[{""page_index"":0,""viewing_time"":10369},{""page_index"":1,""viewing_time"":18884},{""page_index"":2,""viewing_time"":9682},{""page_index"":3,""viewing_time"":1528}]","",""
"38516","","html-slider-response","4","133313","0.0-4.0","tuhtbbuvr85g48ul5bbb","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","9",""
"65234","","survey-text","5","198549","0.0-5.0","tuhtbbuvr85g48ul5bbb","male","journey","","","description","","","{""Q0"":""Jason is a kind caring individual who is suffering from cancer. He needs help to pay for the treatment and basic living expenses.""}"
"8260","","survey-likert","6","206928","0.0-6.0-0.0","tuhtbbuvr85g48ul5bbb","male","journey","","","sympathy","","","{""Q0"":3}"
"5069","","survey-likert","7","211999","0.0-6.0-1.0","tuhtbbuvr85g48ul5bbb","male","journey","","","urgent","","","{""Q0"":2}"
"4880","","survey-text","8","216881","0.0-7.0","tuhtbbuvr85g48ul5bbb","male","journey","","","past-donations","","","{""Q0"":""2""}"
"4937","","survey-multi-choice","9","221821","0.0-8.0-0.0","tuhtbbuvr85g48ul5bbb","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2938","","survey-multi-choice","10","224760","0.0-8.0-1.0","tuhtbbuvr85g48ul5bbb","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"11395","","survey-multi-choice","11","236163","0.0-9.0","tuhtbbuvr85g48ul5bbb","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"4661","","survey-text","12","240826","0.0-10.0","tuhtbbuvr85g48ul5bbb","male","journey","","","age","","","{""Q0"":""43""}"
"65590","","survey-text","13","306417","0.0-11.0","tuhtbbuvr85g48ul5bbb","male","journey","","","purpose","","","{""Q0"":""Basic understanding of reading and a persons compassion for a stranger.""}"
"3941","","survey-text","14","310359","0.0-12.0","tuhtbbuvr85g48ul5bbb","male","journey","","","feedback","","","{""Q0"":""""}"
"41433","debrief.html","external-html","15","352229","0.0-13.0","tuhtbbuvr85g48ul5bbb","male","journey","","","","","",""
