"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"20260","consent.html","external-html","0","20332","0.0-0.0","wkgna5xtbuu0v1l63bkx","male","battle","","","","","",""
"2855","","image-button-response","1","23196","0.0-1.0","wkgna5xtbuu0v1l63bkx","male","battle","check-1.png","1","check1","","",""
"3038","","image-button-response","2","26237","0.0-2.0","wkgna5xtbuu0v1l63bkx","male","battle","check-2.png","2","check2","","",""
"31765","","instructions","3","58003","0.0-3.0","wkgna5xtbuu0v1l63bkx","male","battle","","","","[{""page_index"":0,""viewing_time"":5061},{""page_index"":1,""viewing_time"":16643},{""page_index"":2,""viewing_time"":7875},{""page_index"":3,""viewing_time"":2185}]","",""
"35697","","html-slider-response","4","93704","0.0-4.0","wkgna5xtbuu0v1l63bkx","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","15",""
"38548","","survey-text","5","132256","0.0-5.0","wkgna5xtbuu0v1l63bkx","male","battle","","","description","","","{""Q0"":""Jason is suffering with cancer and needs financial assistance. The treatment he needs is extensive and painful for weeks at a time. ""}"
"5788","","survey-likert","6","138048","0.0-6.0-0.0","wkgna5xtbuu0v1l63bkx","male","battle","","","urgent","","","{""Q0"":5}"
"3559","","survey-likert","7","141610","0.0-6.0-1.0","wkgna5xtbuu0v1l63bkx","male","battle","","","sympathy","","","{""Q0"":5}"
"6694","","survey-text","8","148307","0.0-7.0","wkgna5xtbuu0v1l63bkx","male","battle","","","past-donations","","","{""Q0"":""3""}"
"2873","","survey-multi-choice","9","151185","0.0-8.0-0.0","wkgna5xtbuu0v1l63bkx","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"3637","","survey-multi-choice","10","154826","0.0-8.0-1.0","wkgna5xtbuu0v1l63bkx","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"14686","","survey-multi-choice","11","169528","0.0-9.0","wkgna5xtbuu0v1l63bkx","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4679","","survey-text","12","174210","0.0-10.0","wkgna5xtbuu0v1l63bkx","male","battle","","","age","","","{""Q0"":""22""}"
"37225","","survey-text","13","211437","0.0-11.0","wkgna5xtbuu0v1l63bkx","male","battle","","","purpose","","","{""Q0"":""Whether people would donate to someone in need when it is taken from their own winnings""}"
"23720","","survey-text","14","235158","0.0-12.0","wkgna5xtbuu0v1l63bkx","male","battle","","","feedback","","","{""Q0"":""The layout was simple and easy to navigate ""}"
"9120","debrief.html","external-html","15","244467","0.0-13.0","wkgna5xtbuu0v1l63bkx","male","battle","","","","","",""
