"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9921","consent.html","external-html","0","10311","0.0-0.0","x31b1klrn5ylz46nwx1o","male","battle","","","","","",""
"1790","","image-button-response","1","12104","0.0-1.0","x31b1klrn5ylz46nwx1o","male","battle","check-1.png","3","check1","","",""
"1334","","image-button-response","2","13440","0.0-2.0","x31b1klrn5ylz46nwx1o","male","battle","check-2.png","3","check2","","",""
"5424","","instructions","3","18865","0.0-3.0","x31b1klrn5ylz46nwx1o","male","battle","","","","[{""page_index"":0,""viewing_time"":1455},{""page_index"":1,""viewing_time"":1247},{""page_index"":2,""viewing_time"":1272},{""page_index"":3,""viewing_time"":1450}]","",""
"48477","","html-slider-response","4","67345","0.0-4.0","x31b1klrn5ylz46nwx1o","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","42",""
"860701","","survey-text","5","928048","0.0-5.0","x31b1klrn5ylz46nwx1o","male","battle","","","description","","","{""Q0"":""Any one who has me my best friend Jason knows that he has  heart of gold. But after undergoing a complicated thyroid surgery. Jason was diagnosed with stage II Lymphoma.\nHe knows that everyday in the near future is going to be a battle with this disease. The doctors say he will need many treatments of chemotherapy and possibly local radiation as well. This is a rough fight that Jason now finds himself in, but he is ready to wage war through the coming months of chemo treatment, hospital visit, and medication.\nAs Jason is best friend, I am raising money to help pay for the many expenses that will come along during the tough batches ahead.  He is so strong and wants more than anything to get through  this fight. Any little bit helps!\nwe appreciate you all for helping him through this difficult battle!  ""}"
"19306","","survey-likert","6","947357","0.0-6.0-0.0","x31b1klrn5ylz46nwx1o","male","battle","","","urgent","","","{""Q0"":5}"
"11884","","survey-likert","7","959244","0.0-6.0-1.0","x31b1klrn5ylz46nwx1o","male","battle","","","sympathy","","","{""Q0"":3}"
"39625","","survey-text","8","998871","0.0-7.0","x31b1klrn5ylz46nwx1o","male","battle","","","past-donations","","","{""Q0"":""37""}"
"37103","","survey-multi-choice","9","1035978","0.0-8.0-0.0","x31b1klrn5ylz46nwx1o","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"31556","","survey-multi-choice","10","1067537","0.0-8.0-1.0","x31b1klrn5ylz46nwx1o","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"24536","","survey-multi-choice","11","1092083","0.0-9.0","x31b1klrn5ylz46nwx1o","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"10435","","survey-text","12","1102521","0.0-10.0","x31b1klrn5ylz46nwx1o","male","battle","","","age","","","{""Q0"":""31""}"
"32966","","survey-text","13","1135488","0.0-11.0","x31b1klrn5ylz46nwx1o","male","battle","","","purpose","","","{""Q0"":""nothing""}"
"58583","","survey-text","14","1194072","0.0-12.0","x31b1klrn5ylz46nwx1o","male","battle","","","feedback","","","{""Q0"":""good for this experiment""}"
"43751","debrief.html","external-html","15","1238667","0.0-13.0","x31b1klrn5ylz46nwx1o","male","battle","","","","","",""
