"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13112","consent.html","external-html","0","13230","0.0-0.0","zmafkqaopb8v1qmz3u7r","female","battle","","","","","",""
"1711","","image-button-response","1","14945","0.0-1.0","zmafkqaopb8v1qmz3u7r","female","battle","check-1.png","1","check1","","",""
"2572","","image-button-response","2","17520","0.0-2.0","zmafkqaopb8v1qmz3u7r","female","battle","check-2.png","2","check2","","",""
"37565","","instructions","3","55086","0.0-3.0","zmafkqaopb8v1qmz3u7r","female","battle","","","","[{""page_index"":0,""viewing_time"":4510},{""page_index"":1,""viewing_time"":25990},{""page_index"":2,""viewing_time"":6007},{""page_index"":3,""viewing_time"":1057}]","",""
"44082","","html-slider-response","4","99171","0.0-4.0","zmafkqaopb8v1qmz3u7r","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","40",""
"61728","","survey-text","5","160902","0.0-5.0","zmafkqaopb8v1qmz3u7r","female","battle","","","description","","","{""Q0"":""Jennifer is diagnosed with cancer. She currently goes through multiple rounds of chemotherapy treatment (every 21 days). Her friend raises money to help Jennifer financially through this challenging time. ""}"
"7462","","survey-likert","6","168366","0.0-6.0-0.0","zmafkqaopb8v1qmz3u7r","female","battle","","","sympathy","","","{""Q0"":6}"
"2501","","survey-likert","7","170870","0.0-6.0-1.0","zmafkqaopb8v1qmz3u7r","female","battle","","","urgent","","","{""Q0"":6}"
"8053","","survey-text","8","178925","0.0-7.0","zmafkqaopb8v1qmz3u7r","female","battle","","","past-donations","","","{""Q0"":""5""}"
"6411","","survey-multi-choice","9","185341","0.0-8.0-0.0","zmafkqaopb8v1qmz3u7r","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"2764","","survey-multi-choice","10","188108","0.0-8.0-1.0","zmafkqaopb8v1qmz3u7r","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"14489","","survey-multi-choice","11","202612","0.0-9.0","zmafkqaopb8v1qmz3u7r","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""No""}"
"3516","","survey-text","12","206131","0.0-10.0","zmafkqaopb8v1qmz3u7r","female","battle","","","age","","","{""Q0"":""36""}"
"2398","","survey-text","13","208532","0.0-11.0","zmafkqaopb8v1qmz3u7r","female","battle","","","purpose","","","{""Q0"":""""}"
"1397","","survey-text","14","209930","0.0-12.0","zmafkqaopb8v1qmz3u7r","female","battle","","","feedback","","","{""Q0"":""""}"
"5495","debrief.html","external-html","15","216244","0.0-13.0","zmafkqaopb8v1qmz3u7r","female","battle","","","","","",""
