"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"25752","consent.html","external-html","0","25949","0.0-0.0","g9lxkfwa571uf07r35v2","female","battle","","","","","",""
"5863","","image-button-response","1","31834","0.0-1.0","g9lxkfwa571uf07r35v2","female","battle","check-1.png","1","check1","","",""
"5216","","image-button-response","2","37057","0.0-2.0","g9lxkfwa571uf07r35v2","female","battle","check-2.png","2","check2","","",""
"35678","","instructions","3","72738","0.0-3.0","g9lxkfwa571uf07r35v2","female","battle","","","","[{""page_index"":0,""viewing_time"":10860},{""page_index"":1,""viewing_time"":16840},{""page_index"":2,""viewing_time"":5154},{""page_index"":3,""viewing_time"":2820}]","",""
"49412","","html-slider-response","4","122159","0.0-4.0","g9lxkfwa571uf07r35v2","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","25",""
"48269","","survey-text","5","170435","0.0-5.0","g9lxkfwa571uf07r35v2","female","battle","","","description","","","{""Q0"":""I find this situation to be tragic for Jennifer and her family.""}"
"9803","","survey-likert","6","180246","0.0-6.0-0.0","g9lxkfwa571uf07r35v2","female","battle","","","urgent","","","{""Q0"":6}"
"4218","","survey-likert","7","184471","0.0-6.0-1.0","g9lxkfwa571uf07r35v2","female","battle","","","sympathy","","","{""Q0"":6}"
"6244","","survey-text","8","190721","0.0-7.0","g9lxkfwa571uf07r35v2","female","battle","","","past-donations","","","{""Q0"":""24""}"
"3850","","survey-multi-choice","9","194581","0.0-8.0-0.0","g9lxkfwa571uf07r35v2","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"4854","","survey-multi-choice","10","199442","0.0-8.0-1.0","g9lxkfwa571uf07r35v2","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"12848","","survey-multi-choice","11","212323","0.0-9.0","g9lxkfwa571uf07r35v2","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"9710","","survey-text","12","222039","0.0-10.0","g9lxkfwa571uf07r35v2","female","battle","","","age","","","{""Q0"":""48""}"
"6976","","survey-text","13","229021","0.0-11.0","g9lxkfwa571uf07r35v2","female","battle","","","purpose","","","{""Q0"":""""}"
"3867","","survey-text","14","232893","0.0-12.0","g9lxkfwa571uf07r35v2","female","battle","","","feedback","","","{""Q0"":""""}"
"6646","debrief.html","external-html","15","240114","0.0-13.0","g9lxkfwa571uf07r35v2","female","battle","","","","","",""
