"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"12215","consent.html","external-html","0","12300","0.0-0.0","6n9en6g9lm0z430yr9cl","female","literal","","","","","",""
"4791","","image-button-response","1","17106","0.0-1.0","6n9en6g9lm0z430yr9cl","female","literal","check-1.png","1","check1","","",""
"3552","","image-button-response","2","20662","0.0-2.0","6n9en6g9lm0z430yr9cl","female","literal","check-2.png","2","check2","","",""
"36299","","instructions","3","56965","0.0-3.0","6n9en6g9lm0z430yr9cl","female","literal","","","","[{""page_index"":0,""viewing_time"":11656},{""page_index"":1,""viewing_time"":18274},{""page_index"":2,""viewing_time"":4516},{""page_index"":3,""viewing_time"":1851}]","",""
"69915","","html-slider-response","4","126885","0.0-4.0","6n9en6g9lm0z430yr9cl","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","25",""
"96982","","survey-text","5","223869","0.0-5.0","6n9en6g9lm0z430yr9cl","female","literal","","","description","","","{""Q0"":""She has stage II lymphoma and has undergone both surgery and some chemotherapy.  Her energy was very low from the chemotherapy at first but she is regaining her energy.  Apparently, her friend believes she needs help paying for her treatment and recovery; consequently, the friend has set up a funding page to secure donations to pay for Jennifer's treatment and recovery.""}"
"7579","","survey-likert","6","231456","0.0-6.0-0.0","6n9en6g9lm0z430yr9cl","female","literal","","","sympathy","","","{""Q0"":5}"
"6377","","survey-likert","7","237838","0.0-6.0-1.0","6n9en6g9lm0z430yr9cl","female","literal","","","urgent","","","{""Q0"":5}"
"9631","","survey-text","8","247473","0.0-7.0","6n9en6g9lm0z430yr9cl","female","literal","","","past-donations","","","{""Q0"":""3""}"
"4724","","survey-multi-choice","9","252204","0.0-8.0-0.0","6n9en6g9lm0z430yr9cl","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"5991","","survey-multi-choice","10","258200","0.0-8.0-1.0","6n9en6g9lm0z430yr9cl","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"21093","","survey-multi-choice","11","279313","0.0-9.0","6n9en6g9lm0z430yr9cl","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4870","","survey-text","12","284187","0.0-10.0","6n9en6g9lm0z430yr9cl","female","literal","","","age","","","{""Q0"":""65""}"
"39580","","survey-text","13","323771","0.0-11.0","6n9en6g9lm0z430yr9cl","female","literal","","","purpose","","","{""Q0"":""You were testing our willingness to respond to requests for donations from a stranger for a stranger based on reported difficulties?""}"
"7338","","survey-text","14","331112","0.0-12.0","6n9en6g9lm0z430yr9cl","female","literal","","","feedback","","","{""Q0"":""No""}"
"27572","debrief.html","external-html","15","359003","0.0-13.0","6n9en6g9lm0z430yr9cl","female","literal","","","","","",""
