"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"2689","consent.html","external-html","0","3073","0.0-0.0","ancwkhpvdphz6efp0jk3","male","journey","","","","","",""
"2263","","image-button-response","1","5346","0.0-1.0","ancwkhpvdphz6efp0jk3","male","journey","check-1.png","2","check1","","",""
"2268","","image-button-response","2","7617","0.0-2.0","ancwkhpvdphz6efp0jk3","male","journey","check-2.png","1","check2","","",""
"4095","","instructions","3","11714","0.0-3.0","ancwkhpvdphz6efp0jk3","male","journey","","","","[{""page_index"":0,""viewing_time"":1565},{""page_index"":1,""viewing_time"":936},{""page_index"":2,""viewing_time"":922},{""page_index"":3,""viewing_time"":671}]","",""
"2092","","html-slider-response","4","13810","0.0-4.0","ancwkhpvdphz6efp0jk3","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","34",""
"36285","","survey-text","5","50099","0.0-5.0","ancwkhpvdphz6efp0jk3","male","journey","","","description","","","{""Q0"":""good friend""}"
"18316","","survey-likert","6","68421","0.0-6.0-0.0","ancwkhpvdphz6efp0jk3","male","journey","","","urgent","","","{""Q0"":4}"
"2503","","survey-likert","7","70930","0.0-6.0-1.0","ancwkhpvdphz6efp0jk3","male","journey","","","sympathy","","","{""Q0"":4}"
"5821","","survey-text","8","76754","0.0-7.0","ancwkhpvdphz6efp0jk3","male","journey","","","past-donations","","","{""Q0"":""5""}"
"4447","","survey-multi-choice","9","81210","0.0-8.0-0.0","ancwkhpvdphz6efp0jk3","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"3294","","survey-multi-choice","10","84507","0.0-8.0-1.0","ancwkhpvdphz6efp0jk3","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"6298","","survey-multi-choice","11","90838","0.0-9.0","ancwkhpvdphz6efp0jk3","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3679","","survey-text","12","94522","0.0-10.0","ancwkhpvdphz6efp0jk3","male","journey","","","age","","","{""Q0"":""23""}"
"3747","","survey-text","13","98273","0.0-11.0","ancwkhpvdphz6efp0jk3","male","journey","","","purpose","","","{""Q0"":""good""}"
"3359","","survey-text","14","101634","0.0-12.0","ancwkhpvdphz6efp0jk3","male","journey","","","feedback","","","{""Q0"":""good""}"
"2682","debrief.html","external-html","15","112415","0.0-13.0","ancwkhpvdphz6efp0jk3","male","journey","","","","","",""
