"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"22109","consent.html","external-html","0","22259","0.0-0.0","m2g1chu42dxnba9ynx7w","male","journey","","","","","",""
"2414","","image-button-response","1","24686","0.0-1.0","m2g1chu42dxnba9ynx7w","male","journey","check-1.png","1","check1","","",""
"3451","","image-button-response","2","28140","0.0-2.0","m2g1chu42dxnba9ynx7w","male","journey","check-2.png","2","check2","","",""
"30392","","instructions","3","58535","0.0-3.0","m2g1chu42dxnba9ynx7w","male","journey","","","","[{""page_index"":0,""viewing_time"":4701},{""page_index"":1,""viewing_time"":17547},{""page_index"":2,""viewing_time"":7112},{""page_index"":3,""viewing_time"":1030}]","",""
"27846","","html-slider-response","4","86392","0.0-4.0","m2g1chu42dxnba9ynx7w","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","1",""
"43714","","survey-text","5","130111","0.0-5.0","m2g1chu42dxnba9ynx7w","male","journey","","","description","","","{""Q0"":""It sounds like he is in a tough spot and I have empathy for the guy but you can't help everyone. I'd rather see my money go to something I can be directly involved with.""}"
"6806","","survey-likert","6","136925","0.0-6.0-0.0","m2g1chu42dxnba9ynx7w","male","journey","","","sympathy","","","{""Q0"":6}"
"3991","","survey-likert","7","140922","0.0-6.0-1.0","m2g1chu42dxnba9ynx7w","male","journey","","","urgent","","","{""Q0"":4}"
"3034","","survey-text","8","143960","0.0-7.0","m2g1chu42dxnba9ynx7w","male","journey","","","past-donations","","","{""Q0"":""100""}"
"2831","","survey-multi-choice","9","146802","0.0-8.0-0.0","m2g1chu42dxnba9ynx7w","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"2785","","survey-multi-choice","10","149594","0.0-8.0-1.0","m2g1chu42dxnba9ynx7w","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"8156","","survey-multi-choice","11","157772","0.0-9.0","m2g1chu42dxnba9ynx7w","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"2687","","survey-text","12","160464","0.0-10.0","m2g1chu42dxnba9ynx7w","male","journey","","","age","","","{""Q0"":""34""}"
"2189","","survey-text","13","162657","0.0-11.0","m2g1chu42dxnba9ynx7w","male","journey","","","purpose","","","{""Q0"":""""}"
"1699","","survey-text","14","164361","0.0-12.0","m2g1chu42dxnba9ynx7w","male","journey","","","feedback","","","{""Q0"":""""}"
"36443","debrief.html","external-html","15","201122","0.0-13.0","m2g1chu42dxnba9ynx7w","male","journey","","","","","",""
