"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"10156","consent.html","external-html","0","10253","0.0-0.0","0o46yruf9eczsnnyy3yv","female","literal","","","","","",""
"3476","","image-button-response","1","13734","0.0-1.0","0o46yruf9eczsnnyy3yv","female","literal","check-1.png","1","check1","","",""
"3704","","image-button-response","2","17439","0.0-2.0","0o46yruf9eczsnnyy3yv","female","literal","check-2.png","2","check2","","",""
"36684","","instructions","3","54124","0.0-3.0","0o46yruf9eczsnnyy3yv","female","literal","","","","[{""page_index"":0,""viewing_time"":6273},{""page_index"":1,""viewing_time"":16956},{""page_index"":2,""viewing_time"":12294},{""page_index"":3,""viewing_time"":1160}]","",""
"44467","","html-slider-response","4","98593","0.0-4.0","0o46yruf9eczsnnyy3yv","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","25",""
"90641","","survey-text","5","189237","0.0-5.0","0o46yruf9eczsnnyy3yv","female","literal","","","description","","","{""Q0"":""Jennifer is undergoing treatment for Stage II Lymphoma. She has been feeling bad from the chemo, but is trying to maintain a good attitude and keeping her energy up. She will have many expenses from treatment and any donations would help.""}"
"4545","","survey-likert","6","193785","0.0-6.0-0.0","0o46yruf9eczsnnyy3yv","female","literal","","","urgent","","","{""Q0"":5}"
"4300","","survey-likert","7","198087","0.0-6.0-1.0","0o46yruf9eczsnnyy3yv","female","literal","","","sympathy","","","{""Q0"":6}"
"113372","","survey-text","8","311460","0.0-7.0","0o46yruf9eczsnnyy3yv","female","literal","","","past-donations","","","{""Q0"":""5""}"
"2642","","survey-multi-choice","9","314106","0.0-8.0-0.0","0o46yruf9eczsnnyy3yv","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"6095","","survey-multi-choice","10","320203","0.0-8.0-1.0","0o46yruf9eczsnnyy3yv","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"10943","","survey-multi-choice","11","331154","0.0-9.0","0o46yruf9eczsnnyy3yv","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3751","","survey-text","12","334908","0.0-10.0","0o46yruf9eczsnnyy3yv","female","literal","","","age","","","{""Q0"":""39""}"
"12661","","survey-text","13","347570","0.0-11.0","0o46yruf9eczsnnyy3yv","female","literal","","","purpose","","","{""Q0"":""How willing people are to donate to another person.""}"
"11269","","survey-text","14","358841","0.0-12.0","0o46yruf9eczsnnyy3yv","female","literal","","","feedback","","","{""Q0"":""Thanks for letting me participate!""}"
"12410","debrief.html","external-html","15","371597","0.0-13.0","0o46yruf9eczsnnyy3yv","female","literal","","","","","",""
