"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9419","consent.html","external-html","0","10050","0.0-0.0","bslfjnsyd1bt8o607prn","female","literal","","","","","",""
"3057","","image-button-response","1","13113","0.0-1.0","bslfjnsyd1bt8o607prn","female","literal","check-1.png","1","check1","","",""
"5653","","image-button-response","2","18769","0.0-2.0","bslfjnsyd1bt8o607prn","female","literal","check-2.png","2","check2","","",""
"19379","","instructions","3","38150","0.0-3.0","bslfjnsyd1bt8o607prn","female","literal","","","","[{""page_index"":0,""viewing_time"":3090},{""page_index"":1,""viewing_time"":8291},{""page_index"":2,""viewing_time"":6309},{""page_index"":3,""viewing_time"":1687}]","",""
"50892","","html-slider-response","4","89045","0.0-4.0","bslfjnsyd1bt8o607prn","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","25",""
"12414","","survey-text","5","101461","0.0-5.0","bslfjnsyd1bt8o607prn","female","literal","","","description","","","{""Q0"":""a good person""}"
"13379","","survey-likert","6","114844","0.0-6.0-0.0","bslfjnsyd1bt8o607prn","female","literal","","","sympathy","","","{""Q0"":5}"
"7915","","survey-likert","7","122763","0.0-6.0-1.0","bslfjnsyd1bt8o607prn","female","literal","","","urgent","","","{""Q0"":5}"
"6073","","survey-text","8","128839","0.0-7.0","bslfjnsyd1bt8o607prn","female","literal","","","past-donations","","","{""Q0"":""3""}"
"9625","","survey-multi-choice","9","138469","0.0-8.0-0.0","bslfjnsyd1bt8o607prn","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"4620","","survey-multi-choice","10","143093","0.0-8.0-1.0","bslfjnsyd1bt8o607prn","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"19261","","survey-multi-choice","11","162370","0.0-9.0","bslfjnsyd1bt8o607prn","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Doctorate (e.g. PhD, EdD)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"4506","","survey-text","12","166879","0.0-10.0","bslfjnsyd1bt8o607prn","female","literal","","","age","","","{""Q0"":""32""}"
"13445","","survey-text","13","180327","0.0-11.0","bslfjnsyd1bt8o607prn","female","literal","","","purpose","","","{""Q0"":""rate of pity""}"
"2917","","survey-text","14","183246","0.0-12.0","bslfjnsyd1bt8o607prn","female","literal","","","feedback","","","{""Q0"":""""}"
"13702","debrief.html","external-html","15","198982","0.0-13.0","bslfjnsyd1bt8o607prn","female","literal","","","","","",""
