"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9484","consent.html","external-html","0","9652","0.0-0.0","j4853k67jf64wt63s5fq","male","journey","","","","","",""
"2982","","image-button-response","1","12637","0.0-1.0","j4853k67jf64wt63s5fq","male","journey","check-1.png","1","check1","","",""
"3059","","image-button-response","2","15698","0.0-2.0","j4853k67jf64wt63s5fq","male","journey","check-2.png","2","check2","","",""
"26785","","instructions","3","42485","0.0-3.0","j4853k67jf64wt63s5fq","male","journey","","","","[{""page_index"":0,""viewing_time"":7196},{""page_index"":1,""viewing_time"":14503},{""page_index"":2,""viewing_time"":3757},{""page_index"":3,""viewing_time"":1328}]","",""
"33883","","html-slider-response","4","76372","0.0-4.0","j4853k67jf64wt63s5fq","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","","trial","","5",""
"81820","","survey-text","5","158195","0.0-5.0","j4853k67jf64wt63s5fq","male","journey","","","description","","","{""Q0"":""One of many thousands of people who don't have the coverage to pay for their medical expenses. Very sad, and a reflection on our country, but not unique. I myself am currently in this situation.""}"
"6795","","survey-likert","6","164993","0.0-6.0-0.0","j4853k67jf64wt63s5fq","male","journey","","","sympathy","","","{""Q0"":4}"
"5116","","survey-likert","7","170112","0.0-6.0-1.0","j4853k67jf64wt63s5fq","male","journey","","","urgent","","","{""Q0"":2}"
"4427","","survey-text","8","174542","0.0-7.0","j4853k67jf64wt63s5fq","male","journey","","","past-donations","","","{""Q0"":""0""}"
"3326","","survey-multi-choice","9","177872","0.0-8.0-0.0","j4853k67jf64wt63s5fq","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2080","","survey-multi-choice","10","179956","0.0-8.0-1.0","j4853k67jf64wt63s5fq","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"15375","","survey-multi-choice","11","195344","0.0-9.0","j4853k67jf64wt63s5fq","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3204","","survey-text","12","198550","0.0-10.0","j4853k67jf64wt63s5fq","male","journey","","","age","","","{""Q0"":""49""}"
"23512","","survey-text","13","222064","0.0-11.0","j4853k67jf64wt63s5fq","male","journey","","","purpose","","","{""Q0"":""Dunno""}"
"8651","","survey-text","14","230716","0.0-12.0","j4853k67jf64wt63s5fq","male","journey","","","feedback","","","{""Q0"":""Nope""}"
"27323","debrief.html","external-html","15","258518","0.0-13.0","j4853k67jf64wt63s5fq","male","journey","","","","","",""
