"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6867","consent.html","external-html","0","6921","0.0-0.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","","","",""
"1729","","image-button-response","1","8655","0.0-1.0","mkr8hg3xzs57vj2t1d3v","female","literal","check-1.png","1","check1","","",""
"2418","","image-button-response","2","11078","0.0-2.0","mkr8hg3xzs57vj2t1d3v","female","literal","check-2.png","2","check2","","",""
"22494","","instructions","3","33573","0.0-3.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","","[{""page_index"":0,""viewing_time"":3208},{""page_index"":1,""viewing_time"":12529},{""page_index"":2,""viewing_time"":5436},{""page_index"":3,""viewing_time"":1320}]","",""
"41694","","html-slider-response","4","75273","0.0-4.0","mkr8hg3xzs57vj2t1d3v","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","50",""
"64442","","survey-text","5","139718","0.0-5.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","description","","","{""Q0"":""Jennifer has been diagnosed with Stage II lymphoma. She will requires many treatments and thus would appreciate any financial help for the cost of these treatments.""}"
"9123","","survey-likert","6","148843","0.0-6.0-0.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","urgent","","","{""Q0"":5}"
"3667","","survey-likert","7","152512","0.0-6.0-1.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","sympathy","","","{""Q0"":5}"
"3970","","survey-text","8","156484","0.0-7.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","past-donations","","","{""Q0"":""1""}"
"3545","","survey-multi-choice","9","160033","0.0-8.0-0.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"2177","","survey-multi-choice","10","162213","0.0-8.0-1.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"18693","","survey-multi-choice","11","180913","0.0-9.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4034","","survey-text","12","184950","0.0-10.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","age","","","{""Q0"":""27""}"
"1892","","survey-text","13","186843","0.0-11.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","purpose","","","{""Q0"":""""}"
"1695","","survey-text","14","188539","0.0-12.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","feedback","","","{""Q0"":""""}"
"3072","debrief.html","external-html","15","194596","0.0-13.0","mkr8hg3xzs57vj2t1d3v","female","literal","","","","","",""
