"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"18876","consent.html","external-html","0","19375","0.0-0.0","shdtulelbpa4sjt6mmm6","female","literal","","","","","",""
"11916","","image-button-response","1","31303","0.0-1.0","shdtulelbpa4sjt6mmm6","female","literal","check-1.png","1","check1","","",""
"15846","","image-button-response","2","47155","0.0-2.0","shdtulelbpa4sjt6mmm6","female","literal","check-2.png","2","check2","","",""
"1566721","","instructions","3","1613878","0.0-3.0","shdtulelbpa4sjt6mmm6","female","literal","","","","[{""page_index"":0,""viewing_time"":414492},{""page_index"":1,""viewing_time"":1120069},{""page_index"":2,""viewing_time"":23165},{""page_index"":3,""viewing_time"":8992}]","",""
"103515","","html-slider-response","4","1717405","0.0-4.0","shdtulelbpa4sjt6mmm6","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","15",""
"155686","","survey-text","5","1873096","0.0-5.0","shdtulelbpa4sjt6mmm6","female","literal","","","description","","","{""Q0"":""A good loving person that need our help urgently. because she is a friend and a friend in need ""}"
"15939","","survey-likert","6","1889041","0.0-6.0-0.0","shdtulelbpa4sjt6mmm6","female","literal","","","sympathy","","","{""Q0"":5}"
"3722","","survey-likert","7","1892770","0.0-6.0-1.0","shdtulelbpa4sjt6mmm6","female","literal","","","urgent","","","{""Q0"":5}"
"9506","","survey-text","8","1902281","0.0-7.0","shdtulelbpa4sjt6mmm6","female","literal","","","past-donations","","","{""Q0"":""2""}"
"5928","","survey-multi-choice","9","1908218","0.0-8.0-0.0","shdtulelbpa4sjt6mmm6","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"8152","","survey-multi-choice","10","1916377","0.0-8.0-1.0","shdtulelbpa4sjt6mmm6","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"18838","","survey-multi-choice","11","1935242","0.0-9.0","shdtulelbpa4sjt6mmm6","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"10056","","survey-text","12","1945303","0.0-10.0","shdtulelbpa4sjt6mmm6","female","literal","","","age","","","{""Q0"":""30""}"
"5423","","survey-text","13","1950729","0.0-11.0","shdtulelbpa4sjt6mmm6","female","literal","","","purpose","","","{""Q0"":""""}"
"2348","","survey-text","14","1953081","0.0-12.0","shdtulelbpa4sjt6mmm6","female","literal","","","feedback","","","{""Q0"":""""}"
"52775","debrief.html","external-html","15","2008024","0.0-13.0","shdtulelbpa4sjt6mmm6","female","literal","","","","","",""
