"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"14940","consent.html","external-html","0","15122","0.0-0.0","7xzsq7z236okxm8nf3tt","female","battle","","","","","",""
"2400","","image-button-response","1","17534","0.0-1.0","7xzsq7z236okxm8nf3tt","female","battle","check-1.png","1","check1","","",""
"3420","","image-button-response","2","20957","0.0-2.0","7xzsq7z236okxm8nf3tt","female","battle","check-2.png","2","check2","","",""
"33587","","instructions","3","54547","0.0-3.0","7xzsq7z236okxm8nf3tt","female","battle","","","","[{""page_index"":0,""viewing_time"":9525},{""page_index"":1,""viewing_time"":14837},{""page_index"":2,""viewing_time"":7825},{""page_index"":3,""viewing_time"":1398}]","",""
"59041","","html-slider-response","4","113593","0.0-4.0","7xzsq7z236okxm8nf3tt","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","35",""
"31266","","survey-text","5","144864","0.0-5.0","7xzsq7z236okxm8nf3tt","female","battle","","","description","","","{""Q0"":""Jennifer was diagnosed with lymphoma.  She has to go through chemo and radiation.""}"
"9438","","survey-likert","6","154308","0.0-6.0-0.0","7xzsq7z236okxm8nf3tt","female","battle","","","sympathy","","","{""Q0"":5}"
"6955","","survey-likert","7","161269","0.0-6.0-1.0","7xzsq7z236okxm8nf3tt","female","battle","","","urgent","","","{""Q0"":3}"
"5875","","survey-text","8","167149","0.0-7.0","7xzsq7z236okxm8nf3tt","female","battle","","","past-donations","","","{""Q0"":""5""}"
"3362","","survey-multi-choice","9","170519","0.0-8.0-0.0","7xzsq7z236okxm8nf3tt","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2273","","survey-multi-choice","10","172800","0.0-8.0-1.0","7xzsq7z236okxm8nf3tt","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"9846","","survey-multi-choice","11","182670","0.0-9.0","7xzsq7z236okxm8nf3tt","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"2797","","survey-text","12","185472","0.0-10.0","7xzsq7z236okxm8nf3tt","female","battle","","","age","","","{""Q0"":""53""}"
"20422","","survey-text","13","205897","0.0-11.0","7xzsq7z236okxm8nf3tt","female","battle","","","purpose","","","{""Q0"":""how charitable I am""}"
"4450","","survey-text","14","210349","0.0-12.0","7xzsq7z236okxm8nf3tt","female","battle","","","feedback","","","{""Q0"":""no""}"
"16203","debrief.html","external-html","15","227421","0.0-13.0","7xzsq7z236okxm8nf3tt","female","battle","","","","","",""
