"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"267718","consent.html","external-html","0","268065","0.0-0.0","djza7yc0c1da3rtupp67","female","journey","","","","","",""
"5144","","image-button-response","1","273215","0.0-1.0","djza7yc0c1da3rtupp67","female","journey","check-1.png","1","check1","","",""
"3795","","image-button-response","2","277012","0.0-2.0","djza7yc0c1da3rtupp67","female","journey","check-2.png","2","check2","","",""
"28103","","instructions","3","305116","0.0-3.0","djza7yc0c1da3rtupp67","female","journey","","","","[{""page_index"":0,""viewing_time"":9207},{""page_index"":1,""viewing_time"":9663},{""page_index"":2,""viewing_time"":8033},{""page_index"":3,""viewing_time"":1200}]","",""
"9014","","html-slider-response","4","314132","0.0-4.0","djza7yc0c1da3rtupp67","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","","trial","","0",""
"174813","","survey-text","5","488947","0.0-5.0","djza7yc0c1da3rtupp67","female","journey","","","description","","","{""Q0"":""She is suffering from stage 2 lymphoma. She is already going through treatment.""}"
"13605","","survey-likert","6","502555","0.0-6.0-0.0","djza7yc0c1da3rtupp67","female","journey","","","sympathy","","","{""Q0"":6}"
"3310","","survey-likert","7","505867","0.0-6.0-1.0","djza7yc0c1da3rtupp67","female","journey","","","urgent","","","{""Q0"":6}"
"7142","","survey-text","8","513010","0.0-7.0","djza7yc0c1da3rtupp67","female","journey","","","past-donations","","","{""Q0"":""4""}"
"2837","","survey-multi-choice","9","515851","0.0-8.0-0.0","djza7yc0c1da3rtupp67","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"3133","","survey-multi-choice","10","518987","0.0-8.0-1.0","djza7yc0c1da3rtupp67","female","journey","","","ff-cancer","","","{""Q0"":""No""}"
"10471","","survey-multi-choice","11","529467","0.0-9.0","djza7yc0c1da3rtupp67","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3750","","survey-text","12","533219","0.0-10.0","djza7yc0c1da3rtupp67","female","journey","","","age","","","{""Q0"":""25""}"
"1838","","survey-text","13","535058","0.0-11.0","djza7yc0c1da3rtupp67","female","journey","","","purpose","","","{""Q0"":""""}"
"1711","","survey-text","14","536771","0.0-12.0","djza7yc0c1da3rtupp67","female","journey","","","feedback","","","{""Q0"":""""}"
"25917","debrief.html","external-html","15","564124","0.0-13.0","djza7yc0c1da3rtupp67","female","journey","","","","","",""
