"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"12018","consent.html","external-html","0","12040","0.0-0.0","eosdcsxjn47krp4a4v4t","male","battle","","","","","",""
"6089","","image-button-response","1","18136","0.0-1.0","eosdcsxjn47krp4a4v4t","male","battle","check-1.png","1","check1","","",""
"3562","","image-button-response","2","21703","0.0-2.0","eosdcsxjn47krp4a4v4t","male","battle","check-2.png","0","check2","","",""
"9219","","instructions","3","30924","0.0-3.0","eosdcsxjn47krp4a4v4t","male","battle","","","","[{""page_index"":0,""viewing_time"":2528},{""page_index"":1,""viewing_time"":2259},{""page_index"":2,""viewing_time"":2100},{""page_index"":3,""viewing_time"":2330}]","",""
"7993","","html-slider-response","4","38924","0.0-4.0","eosdcsxjn47krp4a4v4t","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","","trial","","25",""
"107129","","survey-text","5","146059","0.0-5.0","eosdcsxjn47krp4a4v4t","male","battle","","","description","","","{""Q0"":""jason's situation is very normal .because he had no job .his family is middle class family""}"
"5886","","survey-likert","6","151949","0.0-6.0-0.0","eosdcsxjn47krp4a4v4t","male","battle","","","sympathy","","","{""Q0"":4}"
"10902","","survey-likert","7","162855","0.0-6.0-1.0","eosdcsxjn47krp4a4v4t","male","battle","","","urgent","","","{""Q0"":0}"
"8886","","survey-text","8","171745","0.0-7.0","eosdcsxjn47krp4a4v4t","male","battle","","","past-donations","","","{""Q0"":""2""}"
"10821","","survey-multi-choice","9","182574","0.0-8.0-0.0","eosdcsxjn47krp4a4v4t","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"6793","","survey-multi-choice","10","189371","0.0-8.0-1.0","eosdcsxjn47krp4a4v4t","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"26140","","survey-multi-choice","11","215535","0.0-9.0","eosdcsxjn47krp4a4v4t","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"10121","","survey-text","12","225667","0.0-10.0","eosdcsxjn47krp4a4v4t","male","battle","","","age","","","{""Q0"":""49""}"
"13777","","survey-text","13","239448","0.0-11.0","eosdcsxjn47krp4a4v4t","male","battle","","","purpose","","","{""Q0"":""nice""}"
"11952","","survey-text","14","251402","0.0-12.0","eosdcsxjn47krp4a4v4t","male","battle","","","feedback","","","{""Q0"":""no""}"
"27860","debrief.html","external-html","15","279299","0.0-13.0","eosdcsxjn47krp4a4v4t","male","battle","","","","","",""
